Lab,Num,gGSP,file,Metric,Target,Type,MetricName,MetricIsRMSD,MetricIsTM,label,rank_gGSP,rank_Metric,delta_rank_signed,delta_rank_abs
ts081,4,0.482,TS081_4,8.804,CR1107,Ribozyme,RMSD,True,False,ts081_4,78.0,42.0,36.0,36.0
ts091,1,0.224,TS091_1,58.547,CR1107,Ribozyme,RMSD,True,False,ts091_1,178.0,176.0,2.0,2.0
ts091,2,0.212,TS091_2,62.739,CR1107,Ribozyme,RMSD,True,False,ts091_2,180.0,177.0,3.0,3.0
ts091,3,0.22,TS091_3,62.875,CR1107,Ribozyme,RMSD,True,False,ts091_3,179.0,178.0,1.0,1.0
ts091,4,0.226,TS091_4,67.192,CR1107,Ribozyme,RMSD,True,False,ts091_4,177.0,179.0,-2.0,2.0
ts091,5,0.227,TS091_5,67.885,CR1107,Ribozyme,RMSD,True,False,ts091_5,176.0,180.0,-4.0,4.0
ts097,1,0.339,TS097_1,17.327,CR1107,Ribozyme,RMSD,True,False,ts097_1,137.0,75.0,62.0,62.0
ts119,1,0.455,TS119_1,17.776,CR1107,Ribozyme,RMSD,True,False,ts119_1,80.0,80.0,0.0,0.0
ts119,2,0.448,TS119_2,19.625,CR1107,Ribozyme,RMSD,True,False,ts119_2,87.0,114.0,-27.0,27.0
ts119,3,0.486,TS119_3,13.799,CR1107,Ribozyme,RMSD,True,False,ts119_3,75.0,49.0,26.0,26.0
ts119,4,0.486,TS119_4,19.142,CR1107,Ribozyme,RMSD,True,False,ts119_4,75.0,106.0,-31.0,31.0
ts119,5,0.488,TS119_5,14.991,CR1107,Ribozyme,RMSD,True,False,ts119_5,73.0,57.0,16.0,16.0
ts125,1,0.576,TS125_1,7.818,CR1107,Ribozyme,RMSD,True,False,ts125_1,31.0,38.0,-7.0,7.0
ts125,2,0.576,TS125_2,7.803,CR1107,Ribozyme,RMSD,True,False,ts125_2,31.0,35.0,-4.0,4.0
ts125,3,0.454,TS125_3,9.785,CR1107,Ribozyme,RMSD,True,False,ts125_3,82.0,44.0,38.0,38.0
ts125,4,0.289,TS125_4,19.405,CR1107,Ribozyme,RMSD,True,False,ts125_4,174.0,111.0,63.0,63.0
ts125,5,0.296,TS125_5,19.348,CR1107,Ribozyme,RMSD,True,False,ts125_5,169.0,110.0,59.0,59.0
ts128,1,0.595,TS128_1,16.05,CR1107,Ribozyme,RMSD,True,False,ts128_1,23.0,61.0,-38.0,38.0
ts128,2,0.532,TS128_2,17.573,CR1107,Ribozyme,RMSD,True,False,ts128_2,52.0,77.0,-25.0,25.0
ts128,3,0.688,TS128_3,5.982,CR1107,Ribozyme,RMSD,True,False,ts128_3,6.0,7.0,-1.0,1.0
ts128,4,0.508,TS128_4,20.382,CR1107,Ribozyme,RMSD,True,False,ts128_4,62.0,121.0,-59.0,59.0
ts128,5,0.495,TS128_5,14.742,CR1107,Ribozyme,RMSD,True,False,ts128_5,67.0,55.0,12.0,12.0
ts131,1,0.295,TS131_1,51.535,CR1107,Ribozyme,RMSD,True,False,ts131_1,170.0,175.0,-5.0,5.0
ts131,2,0.317,TS131_2,49.244,CR1107,Ribozyme,RMSD,True,False,ts131_2,153.0,173.0,-20.0,20.0
ts131,3,0.304,TS131_3,51.104,CR1107,Ribozyme,RMSD,True,False,ts131_3,168.0,174.0,-6.0,6.0
ts131,4,0.307,TS131_4,43.941,CR1107,Ribozyme,RMSD,True,False,ts131_4,163.0,172.0,-9.0,9.0
ts131,5,0.326,TS131_5,37.309,CR1107,Ribozyme,RMSD,True,False,ts131_5,142.0,171.0,-29.0,29.0
ts147,1,0.315,TS147_1,27.839,CR1107,Ribozyme,RMSD,True,False,ts147_1,155.0,164.0,-9.0,9.0
ts147,2,0.32,TS147_2,26.882,CR1107,Ribozyme,RMSD,True,False,ts147_2,149.0,163.0,-14.0,14.0
ts147,3,0.312,TS147_3,24.443,CR1107,Ribozyme,RMSD,True,False,ts147_3,157.0,149.0,8.0,8.0
ts147,4,0.311,TS147_4,25.652,CR1107,Ribozyme,RMSD,True,False,ts147_4,160.0,155.0,5.0,5.0
ts147,5,0.321,TS147_5,26.067,CR1107,Ribozyme,RMSD,True,False,ts147_5,146.0,158.0,-12.0,12.0
ts163,1,0.455,TS163_1,14.29,CR1107,Ribozyme,RMSD,True,False,ts163_1,80.0,54.0,26.0,26.0
ts163,2,0.404,TS163_2,17.874,CR1107,Ribozyme,RMSD,True,False,ts163_2,114.0,83.0,31.0,31.0
ts163,5,0.408,TS163_5,17.897,CR1107,Ribozyme,RMSD,True,False,ts163_5,103.0,84.0,19.0,19.0
ts227,1,0.316,TS227_1,26.554,CR1107,Ribozyme,RMSD,True,False,ts227_1,154.0,161.0,-7.0,7.0
ts227,2,0.311,TS227_2,25.567,CR1107,Ribozyme,RMSD,True,False,ts227_2,160.0,153.0,7.0,7.0
ts227,3,0.306,TS227_3,26.316,CR1107,Ribozyme,RMSD,True,False,ts227_3,165.0,160.0,5.0,5.0
ts227,4,0.318,TS227_4,25.699,CR1107,Ribozyme,RMSD,True,False,ts227_4,151.0,156.0,-5.0,5.0
ts227,5,0.306,TS227_5,24.956,CR1107,Ribozyme,RMSD,True,False,ts227_5,165.0,150.0,15.0,15.0
ts229,1,0.408,TS229_1,17.897,CR1107,Ribozyme,RMSD,True,False,ts229_1,103.0,84.0,19.0,19.0
ts229,2,0.408,TS229_2,17.897,CR1107,Ribozyme,RMSD,True,False,ts229_2,103.0,84.0,19.0,19.0
ts229,3,0.408,TS229_3,17.897,CR1107,Ribozyme,RMSD,True,False,ts229_3,103.0,84.0,19.0,19.0
ts229,4,0.408,TS229_4,17.897,CR1107,Ribozyme,RMSD,True,False,ts229_4,103.0,84.0,19.0,19.0
ts229,5,0.408,TS229_5,17.897,CR1107,Ribozyme,RMSD,True,False,ts229_5,103.0,84.0,19.0,19.0
ts232,1,0.725,TS232_1,4.515,CR1107,Ribozyme,RMSD,True,False,ts232_1,2.0,1.0,1.0,1.0
ts232,2,0.721,TS232_2,4.857,CR1107,Ribozyme,RMSD,True,False,ts232_2,3.0,2.0,1.0,1.0
ts232,3,0.728,TS232_3,5.949,CR1107,Ribozyme,RMSD,True,False,ts232_3,1.0,6.0,-5.0,5.0
ts232,4,0.71,TS232_4,5.307,CR1107,Ribozyme,RMSD,True,False,ts232_4,5.0,4.0,1.0,1.0
ts232,5,0.721,TS232_5,5.023,CR1107,Ribozyme,RMSD,True,False,ts232_5,3.0,3.0,0.0,0.0
ts235,1,0.426,TS235_1,25.031,CR1107,Ribozyme,RMSD,True,False,ts235_1,93.0,152.0,-59.0,59.0
ts235,2,0.324,TS235_2,26.725,CR1107,Ribozyme,RMSD,True,False,ts235_2,143.0,162.0,-19.0,19.0
ts235,3,0.424,TS235_3,31.141,CR1107,Ribozyme,RMSD,True,False,ts235_3,95.0,169.0,-74.0,74.0
ts235,4,0.422,TS235_4,28.177,CR1107,Ribozyme,RMSD,True,False,ts235_4,97.0,165.0,-68.0,68.0
ts235,5,0.359,TS235_5,19.156,CR1107,Ribozyme,RMSD,True,False,ts235_5,126.0,107.0,19.0,19.0
ts238,1,0.408,TS238_1,18.13,CR1107,Ribozyme,RMSD,True,False,ts238_1,103.0,97.0,6.0,6.0
ts245,1,0.319,TS245_1,23.47,CR1107,Ribozyme,RMSD,True,False,ts245_1,150.0,141.0,9.0,9.0
ts245,2,0.324,TS245_2,21.335,CR1107,Ribozyme,RMSD,True,False,ts245_2,143.0,129.0,14.0,14.0
ts245,3,0.344,TS245_3,23.617,CR1107,Ribozyme,RMSD,True,False,ts245_3,132.0,145.0,-13.0,13.0
ts245,4,0.329,TS245_4,18.242,CR1107,Ribozyme,RMSD,True,False,ts245_4,140.0,100.0,40.0,40.0
ts245,5,0.292,TS245_5,19.044,CR1107,Ribozyme,RMSD,True,False,ts245_5,171.0,104.0,67.0,67.0
ts248,1,0.396,TS248_1,23.602,CR1107,Ribozyme,RMSD,True,False,ts248_1,118.0,144.0,-26.0,26.0
ts248,2,0.404,TS248_2,22.96,CR1107,Ribozyme,RMSD,True,False,ts248_2,114.0,137.0,-23.0,23.0
ts248,3,0.396,TS248_3,23.563,CR1107,Ribozyme,RMSD,True,False,ts248_3,118.0,143.0,-25.0,25.0
ts248,4,0.4,TS248_4,23.443,CR1107,Ribozyme,RMSD,True,False,ts248_4,116.0,140.0,-24.0,24.0
ts248,5,0.399,TS248_5,22.985,CR1107,Ribozyme,RMSD,True,False,ts248_5,117.0,138.0,-21.0,21.0
ts285,1,0.357,TS285_1,20.905,CR1107,Ribozyme,RMSD,True,False,ts285_1,127.0,124.0,3.0,3.0
ts285,2,0.356,TS285_2,21.094,CR1107,Ribozyme,RMSD,True,False,ts285_2,128.0,127.0,1.0,1.0
ts285,3,0.345,TS285_3,19.626,CR1107,Ribozyme,RMSD,True,False,ts285_3,131.0,115.0,16.0,16.0
ts285,4,0.347,TS285_4,21.47,CR1107,Ribozyme,RMSD,True,False,ts285_4,130.0,132.0,-2.0,2.0
ts285,5,0.341,TS285_5,21.117,CR1107,Ribozyme,RMSD,True,False,ts285_5,135.0,128.0,7.0,7.0
ts287,1,0.68,TS287_1,6.691,CR1107,Ribozyme,RMSD,True,False,ts287_1,10.0,24.0,-14.0,14.0
ts287,2,0.673,TS287_2,6.483,CR1107,Ribozyme,RMSD,True,False,ts287_2,16.0,12.0,4.0,4.0
ts287,3,0.534,TS287_3,16.512,CR1107,Ribozyme,RMSD,True,False,ts287_3,49.0,65.0,-16.0,16.0
ts287,4,0.677,TS287_4,6.555,CR1107,Ribozyme,RMSD,True,False,ts287_4,14.0,17.0,-3.0,3.0
ts287,5,0.537,TS287_5,15.871,CR1107,Ribozyme,RMSD,True,False,ts287_5,47.0,60.0,-13.0,13.0
ts385,1,0.332,TS385_1,23.017,CR1107,Ribozyme,RMSD,True,False,ts385_1,139.0,139.0,0.0,0.0
ts385,2,0.324,TS385_2,21.335,CR1107,Ribozyme,RMSD,True,False,ts385_2,143.0,129.0,14.0,14.0
ts385,3,0.344,TS385_3,23.617,CR1107,Ribozyme,RMSD,True,False,ts385_3,132.0,145.0,-13.0,13.0
ts385,4,0.329,TS385_4,18.242,CR1107,Ribozyme,RMSD,True,False,ts385_4,140.0,100.0,40.0,40.0
ts385,5,0.292,TS385_5,19.044,CR1107,Ribozyme,RMSD,True,False,ts385_5,171.0,104.0,67.0,67.0
ts392,1,0.54,TS392_1,16.625,CR1107,Ribozyme,RMSD,True,False,ts392_1,46.0,67.0,-21.0,21.0
ts392,2,0.506,TS392_2,17.989,CR1107,Ribozyme,RMSD,True,False,ts392_2,65.0,92.0,-27.0,27.0
ts392,3,0.492,TS392_3,18.121,CR1107,Ribozyme,RMSD,True,False,ts392_3,70.0,95.0,-25.0,25.0
ts392,4,0.504,TS392_4,17.838,CR1107,Ribozyme,RMSD,True,False,ts392_4,66.0,82.0,-16.0,16.0
ts392,5,0.484,TS392_5,19.575,CR1107,Ribozyme,RMSD,True,False,ts392_5,77.0,113.0,-36.0,36.0
ts416,1,0.604,TS416_1,5.924,CR1107,Ribozyme,RMSD,True,False,ts416_1,19.0,5.0,14.0,14.0
ts416,2,0.577,TS416_2,7.803,CR1107,Ribozyme,RMSD,True,False,ts416_2,30.0,35.0,-5.0,5.0
ts416,3,0.581,TS416_3,7.741,CR1107,Ribozyme,RMSD,True,False,ts416_3,27.0,33.0,-6.0,6.0
ts416,4,0.444,TS416_4,10.167,CR1107,Ribozyme,RMSD,True,False,ts416_4,88.0,45.0,43.0,43.0
ts416,5,0.597,TS416_5,6.516,CR1107,Ribozyme,RMSD,True,False,ts416_5,22.0,14.0,8.0,8.0
ts434,1,0.31,TS434_1,24.981,CR1107,Ribozyme,RMSD,True,False,ts434_1,162.0,151.0,11.0,11.0
ts434,2,0.306,TS434_2,23.541,CR1107,Ribozyme,RMSD,True,False,ts434_2,165.0,142.0,23.0,23.0
ts434,3,0.312,TS434_3,25.595,CR1107,Ribozyme,RMSD,True,False,ts434_3,157.0,154.0,3.0,3.0
ts434,4,0.312,TS434_4,29.258,CR1107,Ribozyme,RMSD,True,False,ts434_4,157.0,167.0,-10.0,10.0
ts434,5,0.314,TS434_5,26.241,CR1107,Ribozyme,RMSD,True,False,ts434_5,156.0,159.0,-3.0,3.0
ts439,1,0.489,TS439_1,19.332,CR1107,Ribozyme,RMSD,True,False,ts439_1,71.0,108.0,-37.0,37.0
ts439,2,0.408,TS439_2,17.897,CR1107,Ribozyme,RMSD,True,False,ts439_2,103.0,84.0,19.0,19.0
ts439,3,0.409,TS439_3,19.974,CR1107,Ribozyme,RMSD,True,False,ts439_3,102.0,117.0,-15.0,15.0
ts439,4,0.489,TS439_4,19.332,CR1107,Ribozyme,RMSD,True,False,ts439_4,71.0,108.0,-37.0,37.0
ts439,5,0.408,TS439_5,17.897,CR1107,Ribozyme,RMSD,True,False,ts439_5,103.0,84.0,19.0,19.0
ts470,1,0.565,TS470_1,6.616,CR1107,Ribozyme,RMSD,True,False,ts470_1,38.0,20.0,18.0,18.0
ts470,2,0.557,TS470_2,6.93,CR1107,Ribozyme,RMSD,True,False,ts470_2,43.0,28.0,15.0,15.0
ts470,3,0.567,TS470_3,6.516,CR1107,Ribozyme,RMSD,True,False,ts470_3,36.0,14.0,22.0,22.0
ts470,4,0.563,TS470_4,6.694,CR1107,Ribozyme,RMSD,True,False,ts470_4,41.0,25.0,16.0,16.0
ts470,5,0.568,TS470_5,6.103,CR1107,Ribozyme,RMSD,True,False,ts470_5,34.0,9.0,25.0,25.0
ts489,1,0.565,TS489_1,6.616,CR1107,Ribozyme,RMSD,True,False,ts489_1,38.0,20.0,18.0,18.0
ts489,2,0.557,TS489_2,6.93,CR1107,Ribozyme,RMSD,True,False,ts489_2,43.0,28.0,15.0,15.0
ts489,3,0.567,TS489_3,6.516,CR1107,Ribozyme,RMSD,True,False,ts489_3,36.0,14.0,22.0,22.0
ts489,4,0.563,TS489_4,6.694,CR1107,Ribozyme,RMSD,True,False,ts489_4,41.0,25.0,16.0,16.0
ts489,5,0.568,TS489_5,6.103,CR1107,Ribozyme,RMSD,True,False,ts489_5,34.0,9.0,25.0,25.0
tsr01,1,0.685,TSR01_1,6.797,CR1107,Ribozyme,RMSD,True,False,tsr01_1,8.0,27.0,-19.0,19.0
tsr01,10,0.536,TSR01_10,16.439,CR1107,Ribozyme,RMSD,True,False,tsr01_10,48.0,63.0,-15.0,15.0
tsr01,2,0.675,TSR01_2,6.646,CR1107,Ribozyme,RMSD,True,False,tsr01_2,15.0,22.0,-7.0,7.0
tsr01,3,0.53,TSR01_3,17.203,CR1107,Ribozyme,RMSD,True,False,tsr01_3,54.0,74.0,-20.0,20.0
tsr01,4,0.684,TSR01_4,6.657,CR1107,Ribozyme,RMSD,True,False,tsr01_4,9.0,23.0,-14.0,14.0
tsr01,5,0.678,TSR01_5,6.498,CR1107,Ribozyme,RMSD,True,False,tsr01_5,12.0,13.0,-1.0,1.0
tsr01,6,0.534,TSR01_6,16.513,CR1107,Ribozyme,RMSD,True,False,tsr01_6,49.0,66.0,-17.0,17.0
tsr01,7,0.678,TSR01_7,6.556,CR1107,Ribozyme,RMSD,True,False,tsr01_7,12.0,18.0,-6.0,6.0
tsr01,8,0.534,TSR01_8,15.308,CR1107,Ribozyme,RMSD,True,False,tsr01_8,49.0,58.0,-9.0,9.0
tsr01,9,0.68,TSR01_9,6.601,CR1107,Ribozyme,RMSD,True,False,tsr01_9,10.0,19.0,-9.0,9.0
tsr02,1,0.321,TSR02_1,20.943,CR1107,Ribozyme,RMSD,True,False,tsr02_1,146.0,126.0,20.0,20.0
tsr02,2,0.307,TSR02_2,31.398,CR1107,Ribozyme,RMSD,True,False,tsr02_2,163.0,170.0,-7.0,7.0
tsr02,3,0.287,TSR02_3,30.185,CR1107,Ribozyme,RMSD,True,False,tsr02_3,175.0,168.0,7.0,7.0
tsr02,4,0.376,TSR02_4,24.325,CR1107,Ribozyme,RMSD,True,False,tsr02_4,123.0,148.0,-25.0,25.0
tsr02,5,0.318,TSR02_5,20.911,CR1107,Ribozyme,RMSD,True,False,tsr02_5,151.0,125.0,26.0,26.0
tsr02,6,0.384,TSR02_6,24.265,CR1107,Ribozyme,RMSD,True,False,tsr02_6,122.0,147.0,-25.0,25.0
tsr02,7,0.29,TSR02_7,28.883,CR1107,Ribozyme,RMSD,True,False,tsr02_7,173.0,166.0,7.0,7.0
tsr02,8,0.371,TSR02_8,20.146,CR1107,Ribozyme,RMSD,True,False,tsr02_8,124.0,118.0,6.0,6.0
tsr03,1,0.509,TSR03_1,17.991,CR1107,Ribozyme,RMSD,True,False,tsr03_1,61.0,93.0,-32.0,32.0
tsr03,2,0.495,TSR03_2,18.121,CR1107,Ribozyme,RMSD,True,False,tsr03_2,67.0,95.0,-28.0,28.0
tsr03,3,0.507,TSR03_3,17.836,CR1107,Ribozyme,RMSD,True,False,tsr03_3,64.0,81.0,-17.0,17.0
tsr03,4,0.488,TSR03_4,19.561,CR1107,Ribozyme,RMSD,True,False,tsr03_4,73.0,112.0,-39.0,39.0
tsr03,5,0.544,TSR03_5,16.626,CR1107,Ribozyme,RMSD,True,False,tsr03_5,45.0,68.0,-23.0,23.0
tsr04,1,0.595,TSR04_1,16.05,CR1107,Ribozyme,RMSD,True,False,tsr04_1,23.0,61.0,-38.0,38.0
tsr04,2,0.532,TSR04_2,17.573,CR1107,Ribozyme,RMSD,True,False,tsr04_2,52.0,77.0,-25.0,25.0
tsr04,3,0.688,TSR04_3,5.982,CR1107,Ribozyme,RMSD,True,False,tsr04_3,6.0,7.0,-1.0,1.0
tsr04,4,0.508,TSR04_4,20.382,CR1107,Ribozyme,RMSD,True,False,tsr04_4,62.0,121.0,-59.0,59.0
tsr04,5,0.495,TSR04_5,14.742,CR1107,Ribozyme,RMSD,True,False,tsr04_5,67.0,55.0,12.0,12.0
tsr05,1,0.435,TSR05_1,16.495,CR1107,Ribozyme,RMSD,True,False,tsr05_1,89.0,64.0,25.0,25.0
tsr05,2,0.425,TSR05_2,17.067,CR1107,Ribozyme,RMSD,True,False,tsr05_2,94.0,73.0,21.0,21.0
tsr05,3,0.45,TSR05_3,15.591,CR1107,Ribozyme,RMSD,True,False,tsr05_3,85.0,59.0,26.0,26.0
tsr05,4,0.412,TSR05_4,16.735,CR1107,Ribozyme,RMSD,True,False,tsr05_4,100.0,69.0,31.0,31.0
tsr05,5,0.41,TSR05_5,17.425,CR1107,Ribozyme,RMSD,True,False,tsr05_5,101.0,76.0,25.0,25.0
tsr05,6,0.42,TSR05_6,17.722,CR1107,Ribozyme,RMSD,True,False,tsr05_6,99.0,79.0,20.0,20.0
tsr05,7,0.427,TSR05_7,16.852,CR1107,Ribozyme,RMSD,True,False,tsr05_7,92.0,70.0,22.0,22.0
tsr06,1,0.589,TSR06_1,8.054,CR1107,Ribozyme,RMSD,True,False,tsr06_1,25.0,40.0,-15.0,15.0
tsr06,2,0.565,TSR06_2,7.833,CR1107,Ribozyme,RMSD,True,False,tsr06_2,38.0,39.0,-1.0,1.0
tsr06,3,0.61,TSR06_3,11.536,CR1107,Ribozyme,RMSD,True,False,tsr06_3,18.0,46.0,-28.0,28.0
tsr06,4,0.589,TSR06_4,7.718,CR1107,Ribozyme,RMSD,True,False,tsr06_4,25.0,31.0,-6.0,6.0
tsr06,5,0.599,TSR06_5,7.791,CR1107,Ribozyme,RMSD,True,False,tsr06_5,20.0,34.0,-14.0,14.0
tsr07,1,0.434,TSR07_1,18.17,CR1107,Ribozyme,RMSD,True,False,tsr07_1,90.0,98.0,-8.0,8.0
tsr07,2,0.423,TSR07_2,25.815,CR1107,Ribozyme,RMSD,True,False,tsr07_2,96.0,157.0,-61.0,61.0
tsr07,3,0.452,TSR07_3,18.095,CR1107,Ribozyme,RMSD,True,False,tsr07_3,83.0,94.0,-11.0,11.0
tsr07,4,0.449,TSR07_4,18.57,CR1107,Ribozyme,RMSD,True,False,tsr07_4,86.0,102.0,-16.0,16.0
tsr07,5,0.421,TSR07_5,20.246,CR1107,Ribozyme,RMSD,True,False,tsr07_5,98.0,120.0,-22.0,22.0
tsr08,1,0.528,TSR08_1,14.097,CR1107,Ribozyme,RMSD,True,False,tsr08_1,55.0,50.0,5.0,5.0
tsr08,2,0.527,TSR08_2,14.112,CR1107,Ribozyme,RMSD,True,False,tsr08_2,57.0,52.0,5.0,5.0
tsr08,3,0.527,TSR08_3,13.111,CR1107,Ribozyme,RMSD,True,False,tsr08_3,57.0,47.0,10.0,10.0
tsr08,4,0.482,TSR08_4,8.804,CR1107,Ribozyme,RMSD,True,False,tsr08_4,78.0,42.0,36.0,36.0
ts029,1,0.591,TS029_1,16.287,CR1108,Ribozyme,RMSD,True,False,ts029_1,52.0,78.0,-26.0,26.0
ts029,2,0.441,TS029_2,16.142,CR1108,Ribozyme,RMSD,True,False,ts029_2,123.0,75.0,48.0,48.0
ts035,1,0.453,TS035_1,25.089,CR1108,Ribozyme,RMSD,True,False,ts035_1,118.0,141.0,-23.0,23.0
ts035,2,0.442,TS035_2,23.6,CR1108,Ribozyme,RMSD,True,False,ts035_2,121.0,133.0,-12.0,12.0
ts035,3,0.447,TS035_3,21.512,CR1108,Ribozyme,RMSD,True,False,ts035_3,120.0,122.0,-2.0,2.0
ts035,4,0.479,TS035_4,23.591,CR1108,Ribozyme,RMSD,True,False,ts035_4,113.0,132.0,-19.0,19.0
ts035,5,0.384,TS035_5,24.448,CR1108,Ribozyme,RMSD,True,False,ts035_5,143.0,137.0,6.0,6.0
ts054,1,0.633,TS054_1,6.454,CR1108,Ribozyme,RMSD,True,False,ts054_1,42.0,30.0,12.0,12.0
ts054,2,0.633,TS054_2,6.461,CR1108,Ribozyme,RMSD,True,False,ts054_2,42.0,31.0,11.0,11.0
ts054,3,0.629,TS054_3,6.414,CR1108,Ribozyme,RMSD,True,False,ts054_3,46.0,29.0,17.0,17.0
ts054,4,0.66,TS054_4,6.591,CR1108,Ribozyme,RMSD,True,False,ts054_4,23.0,36.0,-13.0,13.0
ts054,5,0.64,TS054_5,6.537,CR1108,Ribozyme,RMSD,True,False,ts054_5,40.0,32.0,8.0,8.0
ts081,1,0.565,TS081_1,13.198,CR1108,Ribozyme,RMSD,True,False,ts081_1,68.0,61.0,7.0,7.0
ts081,2,0.567,TS081_2,12.442,CR1108,Ribozyme,RMSD,True,False,ts081_2,61.0,59.0,2.0,2.0
ts081,3,0.577,TS081_3,12.098,CR1108,Ribozyme,RMSD,True,False,ts081_3,58.0,57.0,1.0,1.0
ts081,4,0.521,TS081_4,7.918,CR1108,Ribozyme,RMSD,True,False,ts081_4,96.0,43.0,53.0,53.0
ts091,1,0.236,TS091_1,57.278,CR1108,Ribozyme,RMSD,True,False,ts091_1,160.0,161.0,-1.0,1.0
ts091,2,0.229,TS091_2,57.684,CR1108,Ribozyme,RMSD,True,False,ts091_2,163.0,162.0,1.0,1.0
ts091,3,0.236,TS091_3,57.27,CR1108,Ribozyme,RMSD,True,False,ts091_3,160.0,160.0,0.0,0.0
ts091,4,0.232,TS091_4,60.844,CR1108,Ribozyme,RMSD,True,False,ts091_4,162.0,163.0,-1.0,1.0
ts091,5,0.244,TS091_5,56.824,CR1108,Ribozyme,RMSD,True,False,ts091_5,159.0,158.0,1.0,1.0
ts097,1,0.356,TS097_1,29.456,CR1108,Ribozyme,RMSD,True,False,ts097_1,146.0,147.0,-1.0,1.0
ts119,1,0.515,TS119_1,19.059,CR1108,Ribozyme,RMSD,True,False,ts119_1,99.0,99.0,0.0,0.0
ts119,2,0.532,TS119_2,17.468,CR1108,Ribozyme,RMSD,True,False,ts119_2,85.0,85.0,0.0,0.0
ts119,3,0.508,TS119_3,16.578,CR1108,Ribozyme,RMSD,True,False,ts119_3,104.0,80.0,24.0,24.0
ts119,4,0.487,TS119_4,17.182,CR1108,Ribozyme,RMSD,True,False,ts119_4,111.0,83.0,28.0,28.0
ts119,5,0.546,TS119_5,16.011,CR1108,Ribozyme,RMSD,True,False,ts119_5,78.0,74.0,4.0,4.0
ts125,1,0.644,TS125_1,6.554,CR1108,Ribozyme,RMSD,True,False,ts125_1,37.0,35.0,2.0,2.0
ts125,2,0.645,TS125_2,6.537,CR1108,Ribozyme,RMSD,True,False,ts125_2,36.0,32.0,4.0,4.0
ts125,3,0.649,TS125_3,6.549,CR1108,Ribozyme,RMSD,True,False,ts125_3,29.0,34.0,-5.0,5.0
ts125,4,0.644,TS125_4,6.593,CR1108,Ribozyme,RMSD,True,False,ts125_4,37.0,38.0,-1.0,1.0
ts125,5,0.642,TS125_5,6.607,CR1108,Ribozyme,RMSD,True,False,ts125_5,39.0,39.0,0.0,0.0
ts128,1,0.63,TS128_1,15.94,CR1108,Ribozyme,RMSD,True,False,ts128_1,44.0,71.0,-27.0,27.0
ts128,2,0.551,TS128_2,17.564,CR1108,Ribozyme,RMSD,True,False,ts128_2,73.0,86.0,-13.0,13.0
ts128,3,0.744,TS128_3,5.48,CR1108,Ribozyme,RMSD,True,False,ts128_3,5.0,15.0,-10.0,10.0
