Target,Type,Lab,Num,gGSP,lddt,gsp_filename,target_pdb,model_pdb,mode,case_id,outlier
CR1107,Ribozyme,ts147,3,4.63,0.312,CR1107_solution_0_CR1107_TS147_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS147_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts147,4,4.756,0.311,CR1107_solution_0_CR1107_TS147_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS147_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts147,5,4.552,0.321,CR1107_solution_0_CR1107_TS147_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS147_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts227,1,4.803,0.316,CR1107_solution_0_CR1107_TS227_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS227_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts227,5,4.61,0.306,CR1107_solution_0_CR1107_TS227_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS227_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts235,1,8.587,0.426,CR1107_solution_0_CR1107_TS235_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS235_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts235,3,8.416,0.424,CR1107_solution_0_CR1107_TS235_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS235_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts238,1,9.938,0.022,CR1107_solution_0_CR1107_TS238_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS238_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts416,1,63.899,0.595,CR1107_solution_0_CR1107_TS416_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS416_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts416,4,20.477,0.353,CR1107_solution_0_CR1107_TS416_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS416_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts434,1,4.719,0.31,CR1107_solution_0_CR1107_TS434_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS434_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts434,2,4.633,0.306,CR1107_solution_0_CR1107_TS434_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS434_2.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts434,3,4.728,0.312,CR1107_solution_0_CR1107_TS434_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS434_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts434,4,4.658,0.312,CR1107_solution_0_CR1107_TS434_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS434_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts434,5,4.744,0.314,CR1107_solution_0_CR1107_TS434_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS434_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts470,1,61.322,0.018,CR1107_solution_0_CR1107_TS470_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS470_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts470,2,61.914,0.01,CR1107_solution_0_CR1107_TS470_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS470_2.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts470,3,68.708,0.04,CR1107_solution_0_CR1107_TS470_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS470_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts470,4,61.866,0.018,CR1107_solution_0_CR1107_TS470_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS470_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts470,5,64.466,0.052,CR1107_solution_0_CR1107_TS470_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS470_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts489,1,61.322,0.018,CR1107_solution_0_CR1107_TS489_1_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS489_1.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts489,2,61.914,0.01,CR1107_solution_0_CR1107_TS489_2_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS489_2.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts489,3,68.708,0.04,CR1107_solution_0_CR1107_TS489_3_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS489_3.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts489,4,61.866,0.018,CR1107_solution_0_CR1107_TS489_4_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS489_4.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,ts489,5,64.466,0.052,CR1107_solution_0_CR1107_TS489_5_C1'-gGSP.csv,CR1107_solution_0.pdb,CR1107_TS489_5.pdb,fallback_pair,CR1107,True
CR1107,Ribozyme,tsr02,1,4.63,0.321,CR1107_TSR02_1_solution_CR1107_TSR02_1_refined_C1'-gGSP.csv,CR1107_TSR02_1_solution.pdb,CR1107_TSR02_1_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,2,4.605,0.032,CR1107_TSR02_2_solution_CR1107_TSR02_2_refined_C1'-gGSP.csv,CR1107_TSR02_2_solution.pdb,CR1107_TSR02_2_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,3,4.317,0.023,CR1107_TSR02_3_solution_CR1107_TSR02_3_refined_C1'-gGSP.csv,CR1107_TSR02_3_solution.pdb,CR1107_TSR02_3_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,4,8.324,0.031,CR1107_TSR02_4_solution_CR1107_TSR02_4_refined_C1'-gGSP.csv,CR1107_TSR02_4_solution.pdb,CR1107_TSR02_4_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,5,4.68,0.026,CR1107_TSR02_5_solution_CR1107_TSR02_5_refined_C1'-gGSP.csv,CR1107_TSR02_5_solution.pdb,CR1107_TSR02_5_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,6,7.364,0.015,CR1107_TSR02_6_solution_CR1107_TSR02_6_refined_C1'-gGSP.csv,CR1107_TSR02_6_solution.pdb,CR1107_TSR02_6_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,7,4.217,0.024,CR1107_TSR02_7_solution_CR1107_TSR02_7_refined_C1'-gGSP.csv,CR1107_TSR02_7_solution.pdb,CR1107_TSR02_7_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr02,8,9.637,0.053,CR1107_TSR02_8_solution_CR1107_TSR02_8_refined_C1'-gGSP.csv,CR1107_TSR02_8_solution.pdb,CR1107_TSR02_8_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr04,1,24.881,0.169,CR1107_TSR04_1_solution_CR1107_TSR04_1_refined_C1'-gGSP.csv,CR1107_TSR04_1_solution.pdb,CR1107_TSR04_1_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr04,2,24.786,0.007,CR1107_TSR04_2_solution_CR1107_TSR04_2_refined_C1'-gGSP.csv,CR1107_TSR04_2_solution.pdb,CR1107_TSR04_2_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr04,3,62.997,0.32,CR1107_TSR04_3_solution_CR1107_TSR04_3_refined_C1'-gGSP.csv,CR1107_TSR04_3_solution.pdb,CR1107_TSR04_3_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr04,4,21.496,0.005,CR1107_TSR04_4_solution_CR1107_TSR04_4_refined_C1'-gGSP.csv,CR1107_TSR04_4_solution.pdb,CR1107_TSR04_4_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr04,5,19.994,0.041,CR1107_TSR04_5_solution_CR1107_TSR04_5_refined_C1'-gGSP.csv,CR1107_TSR04_5_solution.pdb,CR1107_TSR04_5_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr06,1,34.964,0.039,CR1107_TSR06_1_solution_CR1107_TSR06_1_refined_C1'-gGSP.csv,CR1107_TSR06_1_solution.pdb,CR1107_TSR06_1_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr06,2,36.955,0.068,CR1107_TSR06_2_solution_CR1107_TSR06_2_refined_C1'-gGSP.csv,CR1107_TSR06_2_solution.pdb,CR1107_TSR06_2_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr06,3,34.847,0.093,CR1107_TSR06_3_solution_CR1107_TSR06_3_refined_C1'-gGSP.csv,CR1107_TSR06_3_solution.pdb,CR1107_TSR06_3_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr06,4,39.415,0.047,CR1107_TSR06_4_solution_CR1107_TSR06_4_refined_C1'-gGSP.csv,CR1107_TSR06_4_solution.pdb,CR1107_TSR06_4_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr06,5,44.78,0.006,CR1107_TSR06_5_solution_CR1107_TSR06_5_refined_C1'-gGSP.csv,CR1107_TSR06_5_solution.pdb,CR1107_TSR06_5_refined.pdb,refined_pair,CR1107,True
CR1107,Ribozyme,tsr08,4,34.006,0.482,CR1107_TSR08_4_solution_CR1107_TSR08_4_refined_C1'-gGSP.csv,CR1107_TSR08_4_solution.pdb,CR1107_TSR08_4_refined.pdb,refined_pair,CR1107,True
CR1108,Ribozyme,ts029,2,22.954,0.441,CR1108_TS029_2_solution_CR1108_TS029_2_refined_C1'-gGSP.csv,CR1108_TS029_2_solution.pdb,CR1108_TS029_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts097,1,10.907,0.338,CR1108_TS097_1_solution_CR1108_TS097_1_refined_C1'-gGSP.csv,CR1108_TS097_1_solution.pdb,CR1108_TS097_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts128,1,26.179,0.197,CR1108_TS128_1_solution_CR1108_TS128_1_refined_C1'-gGSP.csv,CR1108_TS128_1_solution.pdb,CR1108_TS128_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts128,2,25.699,0.011,CR1108_TS128_2_solution_CR1108_TS128_2_refined_C1'-gGSP.csv,CR1108_TS128_2_solution.pdb,CR1108_TS128_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts128,3,70.76,0.369,CR1108_TS128_3_solution_CR1108_TS128_3_refined_C1'-gGSP.csv,CR1108_TS128_3_solution.pdb,CR1108_TS128_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts128,4,21.172,0.012,CR1108_TS128_4_solution_CR1108_TS128_4_refined_C1'-gGSP.csv,CR1108_TS128_4_solution.pdb,CR1108_TS128_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts128,5,18.79,0.055,CR1108_TS128_5_solution_CR1108_TS128_5_refined_C1'-gGSP.csv,CR1108_TS128_5_solution.pdb,CR1108_TS128_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts163,1,35.444,0.378,CR1108_TS163_1_solution_CR1108_TS163_1_refined_C1'-gGSP.csv,CR1108_TS163_1_solution.pdb,CR1108_TS163_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts229,1,34.079,0.402,CR1108_TS229_1_solution_CR1108_TS229_1_refined_C1'-gGSP.csv,CR1108_TS229_1_solution.pdb,CR1108_TS229_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts229,2,34.079,0.402,CR1108_TS229_2_solution_CR1108_TS229_2_refined_C1'-gGSP.csv,CR1108_TS229_2_solution.pdb,CR1108_TS229_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts229,3,34.079,0.402,CR1108_TS229_3_solution_CR1108_TS229_3_refined_C1'-gGSP.csv,CR1108_TS229_3_solution.pdb,CR1108_TS229_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts229,4,34.079,0.402,CR1108_TS229_4_solution_CR1108_TS229_4_refined_C1'-gGSP.csv,CR1108_TS229_4_solution.pdb,CR1108_TS229_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts229,5,34.079,0.402,CR1108_TS229_5_solution_CR1108_TS229_5_refined_C1'-gGSP.csv,CR1108_TS229_5_solution.pdb,CR1108_TS229_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts235,1,8.495,0.449,CR1108_TS235_1_solution_CR1108_TS235_1_refined_C1'-gGSP.csv,CR1108_TS235_1_solution.pdb,CR1108_TS235_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts238,1,51.238,0.112,CR1108_TS238_1_solution_CR1108_TS238_1_refined_C1'-gGSP.csv,CR1108_TS238_1_solution.pdb,CR1108_TS238_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts248,2,7.69,0.407,CR1108_TS248_2_solution_CR1108_TS248_2_refined_C1'-gGSP.csv,CR1108_TS248_2_solution.pdb,CR1108_TS248_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts248,4,7.623,0.415,CR1108_TS248_4_solution_CR1108_TS248_4_refined_C1'-gGSP.csv,CR1108_TS248_4_solution.pdb,CR1108_TS248_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts416,2,82.198,0.589,CR1108_TS416_2_solution_CR1108_TS416_2_refined_C1'-gGSP.csv,CR1108_TS416_2_solution.pdb,CR1108_TS416_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts470,1,74.315,0.048,CR1108_TS470_1_solution_CR1108_TS470_1_refined_C1'-gGSP.csv,CR1108_TS470_1_solution.pdb,CR1108_TS470_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts470,2,75.591,0.074,CR1108_TS470_2_solution_CR1108_TS470_2_refined_C1'-gGSP.csv,CR1108_TS470_2_solution.pdb,CR1108_TS470_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts470,3,72.721,0.065,CR1108_TS470_3_solution_CR1108_TS470_3_refined_C1'-gGSP.csv,CR1108_TS470_3_solution.pdb,CR1108_TS470_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts470,4,85.088,0.053,CR1108_TS470_4_solution_CR1108_TS470_4_refined_C1'-gGSP.csv,CR1108_TS470_4_solution.pdb,CR1108_TS470_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts470,5,23.426,0.023,CR1108_TS470_5_solution_CR1108_TS470_5_refined_C1'-gGSP.csv,CR1108_TS470_5_solution.pdb,CR1108_TS470_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts489,1,74.315,0.048,CR1108_TS489_1_solution_CR1108_TS489_1_refined_C1'-gGSP.csv,CR1108_TS489_1_solution.pdb,CR1108_TS489_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts489,2,75.591,0.074,CR1108_TS489_2_solution_CR1108_TS489_2_refined_C1'-gGSP.csv,CR1108_TS489_2_solution.pdb,CR1108_TS489_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts489,3,72.721,0.065,CR1108_TS489_3_solution_CR1108_TS489_3_refined_C1'-gGSP.csv,CR1108_TS489_3_solution.pdb,CR1108_TS489_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts489,4,85.088,0.053,CR1108_TS489_4_solution_CR1108_TS489_4_refined_C1'-gGSP.csv,CR1108_TS489_4_solution.pdb,CR1108_TS489_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,ts489,5,23.426,0.023,CR1108_TS489_5_solution_CR1108_TS489_5_refined_C1'-gGSP.csv,CR1108_TS489_5_solution.pdb,CR1108_TS489_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,10,5.66,0.034,CR1108_TSR02_10_solution_CR1108_TSR02_10_refined_C1'-gGSP.csv,CR1108_TSR02_10_solution.pdb,CR1108_TSR02_10_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,1,4.256,0.248,CR1108_TSR02_1_solution_CR1108_TSR02_1_refined_C1'-gGSP.csv,CR1108_TSR02_1_solution.pdb,CR1108_TSR02_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,2,5.632,0.319,CR1108_TSR02_2_solution_CR1108_TSR02_2_refined_C1'-gGSP.csv,CR1108_TSR02_2_solution.pdb,CR1108_TSR02_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,3,4.686,0.338,CR1108_TSR02_3_solution_CR1108_TSR02_3_refined_C1'-gGSP.csv,CR1108_TSR02_3_solution.pdb,CR1108_TSR02_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,4,4.772,0.061,CR1108_TSR02_4_solution_CR1108_TSR02_4_refined_C1'-gGSP.csv,CR1108_TSR02_4_solution.pdb,CR1108_TSR02_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,5,8.55,0.023,CR1108_TSR02_5_solution_CR1108_TSR02_5_refined_C1'-gGSP.csv,CR1108_TSR02_5_solution.pdb,CR1108_TSR02_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,6,9.115,0.032,CR1108_TSR02_6_solution_CR1108_TSR02_6_refined_C1'-gGSP.csv,CR1108_TSR02_6_solution.pdb,CR1108_TSR02_6_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,7,4.303,0.026,CR1108_TSR02_7_solution_CR1108_TSR02_7_refined_C1'-gGSP.csv,CR1108_TSR02_7_solution.pdb,CR1108_TSR02_7_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,8,31.945,0.06,CR1108_TSR02_8_solution_CR1108_TSR02_8_refined_C1'-gGSP.csv,CR1108_TSR02_8_solution.pdb,CR1108_TSR02_8_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr02,9,8.648,0.042,CR1108_TSR02_9_solution_CR1108_TSR02_9_refined_C1'-gGSP.csv,CR1108_TSR02_9_solution.pdb,CR1108_TSR02_9_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr03,5,15.001,0.228,CR1108_TSR03_5_solution_CR1108_TSR03_5_refined_C1'-gGSP.csv,CR1108_TSR03_5_solution.pdb,CR1108_TSR03_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr04,1,26.179,0.197,CR1108_TSR04_1_solution_CR1108_TSR04_1_refined_C1'-gGSP.csv,CR1108_TSR04_1_solution.pdb,CR1108_TSR04_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr04,2,25.699,0.011,CR1108_TSR04_2_solution_CR1108_TSR04_2_refined_C1'-gGSP.csv,CR1108_TSR04_2_solution.pdb,CR1108_TSR04_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr04,3,70.76,0.369,CR1108_TSR04_3_solution_CR1108_TSR04_3_refined_C1'-gGSP.csv,CR1108_TSR04_3_solution.pdb,CR1108_TSR04_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr04,4,21.172,0.012,CR1108_TSR04_4_solution_CR1108_TSR04_4_refined_C1'-gGSP.csv,CR1108_TSR04_4_solution.pdb,CR1108_TSR04_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr04,5,18.79,0.055,CR1108_TSR04_5_solution_CR1108_TSR04_5_refined_C1'-gGSP.csv,CR1108_TSR04_5_solution.pdb,CR1108_TSR04_5_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr06,1,42.52,0.046,CR1108_TSR06_1_solution_CR1108_TSR06_1_refined_C1'-gGSP.csv,CR1108_TSR06_1_solution.pdb,CR1108_TSR06_1_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr06,2,46.084,0.059,CR1108_TSR06_2_solution_CR1108_TSR06_2_refined_C1'-gGSP.csv,CR1108_TSR06_2_solution.pdb,CR1108_TSR06_2_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr06,3,35.115,0.081,CR1108_TSR06_3_solution_CR1108_TSR06_3_refined_C1'-gGSP.csv,CR1108_TSR06_3_solution.pdb,CR1108_TSR06_3_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr06,4,68.951,0.063,CR1108_TSR06_4_solution_CR1108_TSR06_4_refined_C1'-gGSP.csv,CR1108_TSR06_4_solution.pdb,CR1108_TSR06_4_refined.pdb,refined_pair,CR1108,True
CR1108,Ribozyme,tsr06,5,39.072,0.075,CR1108_TSR06_5_solution_CR1108_TSR06_5_refined_C1'-gGSP.csv,CR1108_TSR06_5_solution.pdb,CR1108_TSR06_5_refined.pdb,refined_pair,CR1108,True
CR1116,Viral element,ts054,1,35.541,0.048,CR1116_TS054_1_solution_CR1116_TS054_1_refined_C1'-gGSP.csv,CR1116_TS054_1_solution.pdb,CR1116_TS054_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts054,2,25.6,0.059,CR1116_TS054_2_solution_CR1116_TS054_2_refined_C1'-gGSP.csv,CR1116_TS054_2_solution.pdb,CR1116_TS054_2_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts081,1,51.077,0.675,CR1116_TS081_1_solution_CR1116_TS081_1_refined_C1'-gGSP.csv,CR1116_TS081_1_solution.pdb,CR1116_TS081_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts110,1,51.068,0.409,CR1116_TS110_1_solution_CR1116_TS110_1_refined_C1'-gGSP.csv,CR1116_TS110_1_solution.pdb,CR1116_TS110_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts110,2,50.919,0.345,CR1116_TS110_2_solution_CR1116_TS110_2_refined_C1'-gGSP.csv,CR1116_TS110_2_solution.pdb,CR1116_TS110_2_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts110,3,51.815,0.375,CR1116_TS110_3_solution_CR1116_TS110_3_refined_C1'-gGSP.csv,CR1116_TS110_3_solution.pdb,CR1116_TS110_3_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts110,4,50.781,0.363,CR1116_TS110_4_solution_CR1116_TS110_4_refined_C1'-gGSP.csv,CR1116_TS110_4_solution.pdb,CR1116_TS110_4_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts131,4,2.967,0.04,CR1116_TS131_4_solution_CR1116_TS131_4_refined_C1'-gGSP.csv,CR1116_TS131_4_solution.pdb,CR1116_TS131_4_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts163,1,30.821,0.101,CR1116_TS163_1_solution_CR1116_TS163_1_refined_C1'-gGSP.csv,CR1116_TS163_1_solution.pdb,CR1116_TS163_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts163,2,24.182,0.028,CR1116_TS163_2_solution_CR1116_TS163_2_refined_C1'-gGSP.csv,CR1116_TS163_2_solution.pdb,CR1116_TS163_2_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts163,3,25.573,0.025,CR1116_TS163_3_solution_CR1116_TS163_3_refined_C1'-gGSP.csv,CR1116_TS163_3_solution.pdb,CR1116_TS163_3_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts177,1,3.675,0.016,CR1116_TS177_1_solution_CR1116_TS177_1_refined_C1'-gGSP.csv,CR1116_TS177_1_solution.pdb,CR1116_TS177_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts185,1,47.346,0.658,CR1116_TS185_1_solution_CR1116_TS185_1_refined_C1'-gGSP.csv,CR1116_TS185_1_solution.pdb,CR1116_TS185_1_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts229,2,47.295,0.429,CR1116_TS229_2_solution_CR1116_TS229_2_refined_C1'-gGSP.csv,CR1116_TS229_2_solution.pdb,CR1116_TS229_2_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts229,4,49.142,0.459,CR1116_TS229_4_solution_CR1116_TS229_4_refined_C1'-gGSP.csv,CR1116_TS229_4_solution.pdb,CR1116_TS229_4_refined.pdb,refined_pair,CR1116,True
CR1116,Viral element,ts235,1,34.0,0.056,CR1116_TS235_1_solution_CR1116_TS235_1_refined_C1'-gGSP.csv,CR1116_TS235_1_solution.pdb,CR1116_TS235_1_refined.pdb,refined_pair,CR1116,True
