Target,Type,Source,ModelGroup,gGSP
CR1107,Ribozyme,CASP RNA,TS229_3,9.77
CR1107,Ribozyme,CASP RNA,TS229_4,9.77
CR1107,Ribozyme,CASP RNA,TS229_5,9.77
CR1107,Ribozyme,CASP RNA,TS232_1,96.188
CR1107,Ribozyme,CASP RNA,TS232_2,93.97
CR1107,Ribozyme,CASP RNA,TS232_3,70.225
CR1107,Ribozyme,CASP RNA,TS232_4,77.305
CR1107,Ribozyme,CASP RNA,TS232_5,79.631
CR1107,Ribozyme,CASP RNA,TS235_1,9.304
CR1107,Ribozyme,CASP RNA,TS235_2,6.357
CR1107,Ribozyme,CASP RNA,TS235_3,9.119
CR1107,Ribozyme,CASP RNA,TS235_4,9.328
CR1107,Ribozyme,CASP RNA,TS235_5,8.423
CR1107,Ribozyme,CASP RNA,TS238_1,10.768
CR1107,Ribozyme,CASP RNA,TS245_1,8.1
CR1107,Ribozyme,CASP RNA,TS245_2,8.511
CR1107,Ribozyme,CASP RNA,TS245_3,8.877
CR1107,Ribozyme,CASP RNA,TS245_4,8.496
CR1107,Ribozyme,CASP RNA,TS245_5,5.655
CR1107,Ribozyme,CASP RNA,TS248_1,8.844
CR1107,Ribozyme,CASP RNA,TS248_2,9.022
CR1107,Ribozyme,CASP RNA,TS248_3,8.805
CR1107,Ribozyme,CASP RNA,TS248_4,8.623
CR1107,Ribozyme,CASP RNA,TS248_5,8.986
CR1107,Ribozyme,CASP RNA,TS285_1,9.013
CR1107,Ribozyme,CASP RNA,TS285_2,9.319
CR1107,Ribozyme,CASP RNA,TS285_3,8.85
CR1107,Ribozyme,CASP RNA,TS285_4,9.056
CR1107,Ribozyme,CASP RNA,TS285_5,9.05
CR1107,Ribozyme,CASP RNA,TS287_1,66.915
CR1107,Ribozyme,CASP RNA,TS287_2,67.223
CR1107,Ribozyme,CASP RNA,TS287_3,27.573
CR1107,Ribozyme,CASP RNA,TS287_4,66.93
CR1107,Ribozyme,CASP RNA,TS287_5,29.228
CR1107,Ribozyme,CASP RNA,TS385_1,8.575
CR1107,Ribozyme,CASP RNA,TS385_2,8.511
CR1107,Ribozyme,CASP RNA,TS385_3,8.877
CR1107,Ribozyme,CASP RNA,TS385_4,8.496
CR1107,Ribozyme,CASP RNA,TS385_5,5.655
CR1107,Ribozyme,CASP RNA,TS392_1,26.538
CR1107,Ribozyme,CASP RNA,TS392_2,23.624
CR1107,Ribozyme,CASP RNA,TS392_3,22.465
CR1107,Ribozyme,CASP RNA,TS392_4,24.562
CR1107,Ribozyme,CASP RNA,TS392_5,22.444
CR1107,Ribozyme,CASP RNA,TS416_1,69.235
CR1107,Ribozyme,CASP RNA,TS416_2,35.693
CR1107,Ribozyme,CASP RNA,TS416_3,37.158
CR1107,Ribozyme,CASP RNA,TS416_4,22.187
CR1107,Ribozyme,CASP RNA,TS416_5,39.69
CR1107,Ribozyme,CASP RNA,TS434_1,5.113
CR1107,Ribozyme,CASP RNA,TS434_2,5.02
CR1107,Ribozyme,CASP RNA,TS434_3,5.122
CR1107,Ribozyme,CASP RNA,TS434_4,5.047
CR1107,Ribozyme,CASP RNA,TS434_5,5.141
CR1107,Ribozyme,CASP RNA,TS439_1,21.854
CR1107,Ribozyme,CASP RNA,TS439_2,9.77
CR1107,Ribozyme,CASP RNA,TS439_3,10.962
CR1107,Ribozyme,CASP RNA,TS439_4,21.854
CR1107,Ribozyme,CASP RNA,TS439_5,9.77
CR1107,Ribozyme,CASP RNA,TS470_1,66.443
CR1107,Ribozyme,CASP RNA,TS470_2,67.084
CR1107,Ribozyme,CASP RNA,TS470_3,74.446
CR1107,Ribozyme,CASP RNA,TS470_4,67.033
CR1107,Ribozyme,CASP RNA,TS470_5,69.85
CR1107,Ribozyme,CASP RNA,TS489_1,66.443
CR1107,Ribozyme,CASP RNA,TS489_2,67.084
CR1107,Ribozyme,CASP RNA,TS489_3,74.446
CR1107,Ribozyme,CASP RNA,TS489_4,67.033
CR1107,Ribozyme,CASP RNA,TS489_5,69.85
CR1107,Ribozyme,CASP RNA,TSR01_10,28.843
CR1107,Ribozyme,CASP RNA,TSR01_1,65.88
CR1107,Ribozyme,CASP RNA,TSR01_2,65.922
CR1107,Ribozyme,CASP RNA,TSR01_3,28.132
CR1107,Ribozyme,CASP RNA,TSR01_4,67.88
CR1107,Ribozyme,CASP RNA,TSR01_5,66.543
CR1107,Ribozyme,CASP RNA,TSR01_6,27.482
CR1107,Ribozyme,CASP RNA,TSR01_7,66.633
CR1107,Ribozyme,CASP RNA,TSR01_8,29.3
CR1107,Ribozyme,CASP RNA,TSR01_9,66.518
CR1107,Ribozyme,CASP RNA,TSR02_1,5.016
CR1107,Ribozyme,CASP RNA,TSR02_2,4.989
CR1107,Ribozyme,CASP RNA,TSR02_3,4.678
CR1107,Ribozyme,CASP RNA,TSR02_4,9.019
CR1107,Ribozyme,CASP RNA,TSR02_5,5.071
CR1107,Ribozyme,CASP RNA,TSR02_6,7.979
CR1107,Ribozyme,CASP RNA,TSR02_7,4.569
CR1107,Ribozyme,CASP RNA,TSR02_8,10.441
CR1107,Ribozyme,CASP RNA,TSR03_1,23.839
CR1107,Ribozyme,CASP RNA,TSR03_2,22.756
CR1107,Ribozyme,CASP RNA,TSR03_3,24.716
CR1107,Ribozyme,CASP RNA,TSR03_4,22.78
CR1107,Ribozyme,CASP RNA,TSR03_5,27.061
CR1107,Ribozyme,CASP RNA,TSR04_1,26.958
CR1107,Ribozyme,CASP RNA,TSR04_2,26.855
CR1107,Ribozyme,CASP RNA,TSR04_3,68.258
CR1107,Ribozyme,CASP RNA,TSR04_4,23.291
CR1107,Ribozyme,CASP RNA,TSR04_5,21.663
CR1107,Ribozyme,CASP RNA,TSR05_1,17.558
CR1107,Ribozyme,CASP RNA,TSR05_2,18.133
CR1107,Ribozyme,CASP RNA,TSR05_3,19.754
CR1107,Ribozyme,CASP RNA,TSR05_4,13.57
CR1107,Ribozyme,CASP RNA,TSR05_5,15.046
CR1107,Ribozyme,CASP RNA,TSR05_6,15.322
CR1107,Ribozyme,CASP RNA,TSR05_7,16.85
CR1107,Ribozyme,CASP RNA,TSR06_1,37.884
CR1107,Ribozyme,CASP RNA,TSR06_2,40.041
CR1107,Ribozyme,CASP RNA,TSR06_3,37.757
CR1107,Ribozyme,CASP RNA,TSR06_4,42.707
CR1107,Ribozyme,CASP RNA,TSR06_5,48.519
CR1107,Ribozyme,CASP RNA,TSR07_1,20.087
CR1107,Ribozyme,CASP RNA,TSR07_2,16.608
CR1107,Ribozyme,CASP RNA,TSR07_3,21.8
CR1107,Ribozyme,CASP RNA,TSR07_4,21.052
CR1107,Ribozyme,CASP RNA,TSR07_5,19.721
CR1107,Ribozyme,CASP RNA,TSR08_1,22.671
CR1107,Ribozyme,CASP RNA,TSR08_2,21.815
CR1107,Ribozyme,CASP RNA,TSR08_3,29.397
CR1107,Ribozyme,CASP RNA,TSR08_4,36.846
CR1108,Ribozyme,CASP RNA,TS029_1,28.344
CR1108,Ribozyme,CASP RNA,TS029_2,24.871
CR1108,Ribozyme,CASP RNA,TS035_1,15.422
CR1108,Ribozyme,CASP RNA,TS035_2,15.473
CR1108,Ribozyme,CASP RNA,TS035_3,14.502
CR1108,Ribozyme,CASP RNA,TS035_4,14.934
CR1108,Ribozyme,CASP RNA,TS035_5,8.212
CR1108,Ribozyme,CASP RNA,TS054_1,35.584
CR1108,Ribozyme,CASP RNA,TS054_2,35.675
CR1108,Ribozyme,CASP RNA,TS054_3,36.029
CR1108,Ribozyme,CASP RNA,TS054_4,51.157
CR1108,Ribozyme,CASP RNA,TS054_5,49.073
CR1108,Ribozyme,CASP RNA,TS081_1,23.63
CR1108,Ribozyme,CASP RNA,TS081_2,27.013
CR1108,Ribozyme,CASP RNA,TS081_3,30.725
CR1108,Ribozyme,CASP RNA,TS081_4,37.158
CR1108,Ribozyme,CASP RNA,TS091_1,2.814
CR1108,Ribozyme,CASP RNA,TS091_2,2.914
CR1108,Ribozyme,CASP RNA,TS091_3,3.083
CR1108,Ribozyme,CASP RNA,TS091_4,2.829
CR1108,Ribozyme,CASP RNA,TS091_5,2.911
CR1108,Ribozyme,CASP RNA,TS097_1,12.027
CR1108,Ribozyme,CASP RNA,TS119_1,14.526
CR1108,Ribozyme,CASP RNA,TS119_2,21.176
CR1108,Ribozyme,CASP RNA,TS119_3,15.301
CR1108,Ribozyme,CASP RNA,TS119_4,14.901
CR1108,Ribozyme,CASP RNA,TS119_5,20.738
CR1108,Ribozyme,CASP RNA,TS125_1,49.03
CR1108,Ribozyme,CASP RNA,TS125_2,48.785
CR1108,Ribozyme,CASP RNA,TS125_3,48.831
CR1108,Ribozyme,CASP RNA,TS125_4,47.76
CR1108,Ribozyme,CASP RNA,TS125_5,47.375
CR1108,Ribozyme,CASP RNA,TS128_1,28.365
CR1108,Ribozyme,CASP RNA,TS128_2,27.185
CR1108,Ribozyme,CASP RNA,TS128_3,76.669
CR1108,Ribozyme,CASP RNA,TS128_4,22.94
CR1108,Ribozyme,CASP RNA,TS128_5,21.364
CR1108,Ribozyme,CASP RNA,TS131_1,4.744
CR1108,Ribozyme,CASP RNA,TS131_2,4.466
CR1108,Ribozyme,CASP RNA,TS131_3,5.062
CR1108,Ribozyme,CASP RNA,TS131_4,4.756
CR1108,Ribozyme,CASP RNA,TS131_5,4.753
CR1108,Ribozyme,CASP RNA,TS147_1,19.667
CR1108,Ribozyme,CASP RNA,TS147_2,18.235
CR1108,Ribozyme,CASP RNA,TS147_3,19.234
CR1108,Ribozyme,CASP RNA,TS147_4,17.945
CR1108,Ribozyme,CASP RNA,TS147_5,18.683
CR1108,Ribozyme,CASP RNA,TS163_1,38.404
CR1108,Ribozyme,CASP RNA,TS227_1,20.311
CR1108,Ribozyme,CASP RNA,TS227_2,15.098
CR1108,Ribozyme,CASP RNA,TS227_3,18.214
CR1108,Ribozyme,CASP RNA,TS227_4,18.154
CR1108,Ribozyme,CASP RNA,TS227_5,19.222
CR1108,Ribozyme,CASP RNA,TS229_1,36.925
CR1108,Ribozyme,CASP RNA,TS229_2,36.925
CR1108,Ribozyme,CASP RNA,TS229_3,36.925
CR1108,Ribozyme,CASP RNA,TS229_4,36.925
CR1108,Ribozyme,CASP RNA,TS229_5,36.925
CR1108,Ribozyme,CASP RNA,TS232_1,86.315
CR1108,Ribozyme,CASP RNA,TS232_2,96.006
CR1108,Ribozyme,CASP RNA,TS232_3,70.7
CR1108,Ribozyme,CASP RNA,TS232_4,96.993
CR1108,Ribozyme,CASP RNA,TS232_5,88.406
CR1108,Ribozyme,CASP RNA,TS235_1,9.204
CR1108,Ribozyme,CASP RNA,TS235_2,9.062
CR1108,Ribozyme,CASP RNA,TS235_3,16.214
CR1108,Ribozyme,CASP RNA,TS235_4,13.909
CR1108,Ribozyme,CASP RNA,TS235_5,14.856
CR1108,Ribozyme,CASP RNA,TS238_1,55.517
CR1108,Ribozyme,CASP RNA,TS245_1,9.857
CR1108,Ribozyme,CASP RNA,TS248_1,8.484
CR1108,Ribozyme,CASP RNA,TS248_2,8.333
CR1108,Ribozyme,CASP RNA,TS248_3,8.862
CR1108,Ribozyme,CASP RNA,TS248_4,8.26
CR1108,Ribozyme,CASP RNA,TS248_5,18.447
CR1108,Ribozyme,CASP RNA,TS285_1,15.222
CR1108,Ribozyme,CASP RNA,TS285_2,13.519
CR1108,Ribozyme,CASP RNA,TS285_3,16.226
CR1108,Ribozyme,CASP RNA,TS285_4,14.928
CR1108,Ribozyme,CASP RNA,TS285_5,14.617
CR1108,Ribozyme,CASP RNA,TS287_1,73.426
CR1108,Ribozyme,CASP RNA,TS287_2,74.158
CR1108,Ribozyme,CASP RNA,TS287_3,28.093
CR1108,Ribozyme,CASP RNA,TS287_4,74.66
CR1108,Ribozyme,CASP RNA,TS287_5,29.476
CR1108,Ribozyme,CASP RNA,TS385_1,8.308
CR1108,Ribozyme,CASP RNA,TS385_2,9.885
CR1108,Ribozyme,CASP RNA,TS385_3,8.16
CR1108,Ribozyme,CASP RNA,TS385_4,11.355
CR1108,Ribozyme,CASP RNA,TS385_5,7.564
CR1108,Ribozyme,CASP RNA,TS416_1,78.409
CR1108,Ribozyme,CASP RNA,TS416_2,80.712
CR1108,Ribozyme,CASP RNA,TS416_3,79.992
CR1108,Ribozyme,CASP RNA,TS416_4,91.326
CR1108,Ribozyme,CASP RNA,TS416_5,50.779
CR1108,Ribozyme,CASP RNA,TS434_1,14.199
CR1108,Ribozyme,CASP RNA,TS434_2,15.349
CR1108,Ribozyme,CASP RNA,TS434_3,19.095
CR1108,Ribozyme,CASP RNA,TS434_4,15.016
CR1108,Ribozyme,CASP RNA,TS434_5,15.146
CR1108,Ribozyme,CASP RNA,TS439_1,19.791
CR1108,Ribozyme,CASP RNA,TS439_2,19.074
CR1108,Ribozyme,CASP RNA,TS439_3,19.887
CR1108,Ribozyme,CASP RNA,TS439_4,10.735
CR1108,Ribozyme,CASP RNA,TS439_5,11.806
CR1108,Ribozyme,CASP RNA,TS470_1,80.521
CR1108,Ribozyme,CASP RNA,TS470_2,81.904
CR1108,Ribozyme,CASP RNA,TS470_3,78.793
CR1108,Ribozyme,CASP RNA,TS470_4,83.843
CR1108,Ribozyme,CASP RNA,TS470_5,25.113
CR1108,Ribozyme,CASP RNA,TS489_1,80.521
CR1108,Ribozyme,CASP RNA,TS489_2,81.904
CR1108,Ribozyme,CASP RNA,TS489_3,78.793
CR1108,Ribozyme,CASP RNA,TS489_4,83.843
CR1108,Ribozyme,CASP RNA,TS489_5,25.113
CR1108,Ribozyme,CASP RNA,TSR01_10,29.234
CR1108,Ribozyme,CASP RNA,TSR01_1,71.565
CR1108,Ribozyme,CASP RNA,TSR01_2,72.437
CR1108,Ribozyme,CASP RNA,TSR01_3,28.335
CR1108,Ribozyme,CASP RNA,TSR01_4,74.288
CR1108,Ribozyme,CASP RNA,TSR01_5,74.536
CR1108,Ribozyme,CASP RNA,TSR01_6,28.069
CR1108,Ribozyme,CASP RNA,TSR01_7,74.742
CR1108,Ribozyme,CASP RNA,TSR01_8,29.518
CR1108,Ribozyme,CASP RNA,TSR01_9,74.161
CR1108,Ribozyme,CASP RNA,TSR02_10,6.538
CR1108,Ribozyme,CASP RNA,TSR02_1,4.841
CR1108,Ribozyme,CASP RNA,TSR02_2,6.451
CR1108,Ribozyme,CASP RNA,TSR02_3,5.077
CR1108,Ribozyme,CASP RNA,TSR02_4,5.171
CR1108,Ribozyme,CASP RNA,TSR02_5,9.264
CR1108,Ribozyme,CASP RNA,TSR02_6,10.254
CR1108,Ribozyme,CASP RNA,TSR02_7,4.841
CR1108,Ribozyme,CASP RNA,TSR02_8,32.598
CR1108,Ribozyme,CASP RNA,TSR02_9,9.37
CR1108,Ribozyme,CASP RNA,TSR03_1,16.732
CR1108,Ribozyme,CASP RNA,TSR03_2,16.296
CR1108,Ribozyme,CASP RNA,TSR03_3,16.341
CR1108,Ribozyme,CASP RNA,TSR03_4,16.426
CR1108,Ribozyme,CASP RNA,TSR03_5,16.254
CR1108,Ribozyme,CASP RNA,TSR04_1,28.365
CR1108,Ribozyme,CASP RNA,TSR04_2,27.185
CR1108,Ribozyme,CASP RNA,TSR04_3,76.669
CR1108,Ribozyme,CASP RNA,TSR04_4,22.94
CR1108,Ribozyme,CASP RNA,TSR04_5,21.364
CR1108,Ribozyme,CASP RNA,TSR05_1,18.532
CR1108,Ribozyme,CASP RNA,TSR05_2,15.597
CR1108,Ribozyme,CASP RNA,TSR05_3,15.252
CR1108,Ribozyme,CASP RNA,TSR05_4,15.652
CR1108,Ribozyme,CASP RNA,TSR06_1,46.071
CR1108,Ribozyme,CASP RNA,TSR06_2,49.932
CR1108,Ribozyme,CASP RNA,TSR06_3,46.356
CR1108,Ribozyme,CASP RNA,TSR06_4,74.709
CR1108,Ribozyme,CASP RNA,TSR06_5,42.335
CR1108,Ribozyme,CASP RNA,TSR07_1,22.447
CR1108,Ribozyme,CASP RNA,TSR07_2,21.703
CR1108,Ribozyme,CASP RNA,TSR07_3,21.539
CR1108,Ribozyme,CASP RNA,TSR07_4,21.122
CR1108,Ribozyme,CASP RNA,TSR07_5,21.21
CR1108,Ribozyme,CASP RNA,TSR08_1,23.63
CR1108,Ribozyme,CASP RNA,TSR08_2,27.013
CR1108,Ribozyme,CASP RNA,TSR08_3,30.725
CR1108,Ribozyme,CASP RNA,TSR08_4,37.158
CR1116,Viral element,CASP RNA,TS029_1,37.563
CR1116,Viral element,CASP RNA,TS029_2,6.153
CR1116,Viral element,CASP RNA,TS029_3,4.626
CR1116,Viral element,CASP RNA,TS035_1,13.722
CR1116,Viral element,CASP RNA,TS035_2,15.247
CR1116,Viral element,CASP RNA,TS035_3,18.805
CR1116,Viral element,CASP RNA,TS035_4,19.769
CR1116,Viral element,CASP RNA,TS035_5,15.725
CR1116,Viral element,CASP RNA,TS054_1,38.509
CR1116,Viral element,CASP RNA,TS054_2,27.738
CR1116,Viral element,CASP RNA,TS054_3,27.77
CR1116,Viral element,CASP RNA,TS054_4,67.175
CR1116,Viral element,CASP RNA,TS054_5,19.528
CR1116,Viral element,CASP RNA,TS076_1,36.196
CR1116,Viral element,CASP RNA,TS076_2,12.12
CR1116,Viral element,CASP RNA,TS076_3,35.279
CR1116,Viral element,CASP RNA,TS076_4,18.56
CR1116,Viral element,CASP RNA,TS076_5,17.19
CR1116,Viral element,CASP RNA,TS081_1,55.342
CR1116,Viral element,CASP RNA,TS081_2,55.191
CR1116,Viral element,CASP RNA,TS081_3,53.024
CR1116,Viral element,CASP RNA,TS081_4,53.011
CR1116,Viral element,CASP RNA,TS081_5,48.859
CR1116,Viral element,CASP RNA,TS091_1,3.179
CR1116,Viral element,CASP RNA,TS091_2,3.242
CR1116,Viral element,CASP RNA,TS091_3,3.03
CR1116,Viral element,CASP RNA,TS091_4,3.194
CR1116,Viral element,CASP RNA,TS091_5,3.167
CR1116,Viral element,CASP RNA,TS097_1,3.775
CR1116,Viral element,CASP RNA,TS110_1,55.332
CR1116,Viral element,CASP RNA,TS110_2,55.171
CR1116,Viral element,CASP RNA,TS110_3,56.142
CR1116,Viral element,CASP RNA,TS110_4,55.022
CR1116,Viral element,CASP RNA,TS110_5,57.211
CR1116,Viral element,CASP RNA,TS119_1,22.088
CR1116,Viral element,CASP RNA,TS119_2,28.355
CR1116,Viral element,CASP RNA,TS119_3,19.976
CR1116,Viral element,CASP RNA,TS119_4,39.088
CR1116,Viral element,CASP RNA,TS119_5,33.047
CR1116,Viral element,CASP RNA,TS125_1,37.814
CR1116,Viral element,CASP RNA,TS125_2,37.019
CR1116,Viral element,CASP RNA,TS125_3,32.452
CR1116,Viral element,CASP RNA,TS125_4,24.845
CR1116,Viral element,CASP RNA,TS125_5,47.786
CR1116,Viral element,CASP RNA,TS131_1,3.38
CR1116,Viral element,CASP RNA,TS131_2,3.186
CR1116,Viral element,CASP RNA,TS131_3,3.124
CR1116,Viral element,CASP RNA,TS131_4,3.214
CR1116,Viral element,CASP RNA,TS131_5,3.243
CR1116,Viral element,CASP RNA,TS147_1,24.679
CR1116,Viral element,CASP RNA,TS147_2,22.628
CR1116,Viral element,CASP RNA,TS147_3,23.022
CR1116,Viral element,CASP RNA,TS147_4,31.116
CR1116,Viral element,CASP RNA,TS147_5,23.139
CR1116,Viral element,CASP RNA,TS163_1,33.394
CR1116,Viral element,CASP RNA,TS163_2,26.202
CR1116,Viral element,CASP RNA,TS163_3,27.709
CR1116,Viral element,CASP RNA,TS177_1,3.982
CR1116,Viral element,CASP RNA,TS185_1,51.3
CR1116,Viral element,CASP RNA,TS185_2,54.686
CR1116,Viral element,CASP RNA,TS185_3,51.277
CR1116,Viral element,CASP RNA,TS185_4,52.086
CR1116,Viral element,CASP RNA,TS185_5,54.546
CR1116,Viral element,CASP RNA,TS227_1,24.679
CR1116,Viral element,CASP RNA,TS227_2,22.628
CR1116,Viral element,CASP RNA,TS227_3,23.022
CR1116,Viral element,CASP RNA,TS227_4,31.116
CR1116,Viral element,CASP RNA,TS227_5,23.139
CR1116,Viral element,CASP RNA,TS229_1,50.285
CR1116,Viral element,CASP RNA,TS229_2,51.244
CR1116,Viral element,CASP RNA,TS229_3,49.269
CR1116,Viral element,CASP RNA,TS229_4,53.246
CR1116,Viral element,CASP RNA,TS229_5,59.635
CR1116,Viral element,CASP RNA,TS232_1,54.594
CR1116,Viral element,CASP RNA,TS232_2,54.284
CR1116,Viral element,CASP RNA,TS232_3,54.546
CR1116,Viral element,CASP RNA,TS232_4,54.14
CR1116,Viral element,CASP RNA,TS232_5,54.427
CR1116,Viral element,CASP RNA,TS235_1,36.839
CR1116,Viral element,CASP RNA,TS235_2,26.166
CR1116,Viral element,CASP RNA,TS235_3,52.834
CR1116,Viral element,CASP RNA,TS235_4,51.44
CR1116,Viral element,CASP RNA,TS235_5,47.712
CR1116,Viral element,CASP RNA,TS238_1,37.718
CR1116,Viral element,CASP RNA,TS238_2,35.159
CR1116,Viral element,CASP RNA,TS239_1,56.326
CR1116,Viral element,CASP RNA,TS239_2,53.588
CR1116,Viral element,CASP RNA,TS239_3,53.256
CR1116,Viral element,CASP RNA,TS239_4,53.458
CR1116,Viral element,CASP RNA,TS239_5,52.541
CR1116,Viral element,CASP RNA,TS245_1,9.805
CR1116,Viral element,CASP RNA,TS245_2,10.25
CR1116,Viral element,CASP RNA,TS245_3,11.082
CR1116,Viral element,CASP RNA,TS245_4,10.37
CR1116,Viral element,CASP RNA,TS245_5,10.351
CR1116,Viral element,CASP RNA,TS248_1,6.28
CR1116,Viral element,CASP RNA,TS248_2,6.212
CR1116,Viral element,CASP RNA,TS248_3,11.181
CR1116,Viral element,CASP RNA,TS248_4,5.836
CR1116,Viral element,CASP RNA,TS248_5,8.561
CR1116,Viral element,CASP RNA,TS285_1,89.64
CR1116,Viral element,CASP RNA,TS285_2,44.26
CR1116,Viral element,CASP RNA,TS285_3,97.196
CR1116,Viral element,CASP RNA,TS285_4,24.43
CR1116,Viral element,CASP RNA,TS285_5,97.206
CR1116,Viral element,CASP RNA,TS287_1,53.731
CR1116,Viral element,CASP RNA,TS287_2,53.944
CR1116,Viral element,CASP RNA,TS287_3,53.892
CR1116,Viral element,CASP RNA,TS287_4,53.925
CR1116,Viral element,CASP RNA,TS287_5,53.884
CR1116,Viral element,CASP RNA,TS385_1,9.805
CR1116,Viral element,CASP RNA,TS385_2,10.25
CR1116,Viral element,CASP RNA,TS385_3,11.082
CR1116,Viral element,CASP RNA,TS385_4,10.37
CR1116,Viral element,CASP RNA,TS385_5,10.351
CR1116,Viral element,CASP RNA,TS392_1,16.843
CR1116,Viral element,CASP RNA,TS392_2,16.87
CR1116,Viral element,CASP RNA,TS392_3,16.832
CR1116,Viral element,CASP RNA,TS392_4,15.951
CR1116,Viral element,CASP RNA,TS392_5,17.128
CR1116,Viral element,CASP RNA,TS416_1,51.789
CR1116,Viral element,CASP RNA,TS416_2,48.929
CR1116,Viral element,CASP RNA,TS416_3,55.554
CR1116,Viral element,CASP RNA,TS416_4,49.248
CR1116,Viral element,CASP RNA,TS416_5,54.171
CR1116,Viral element,CASP RNA,TS434_1,24.679
CR1116,Viral element,CASP RNA,TS434_2,22.628
CR1116,Viral element,CASP RNA,TS434_3,23.022
CR1116,Viral element,CASP RNA,TS434_4,31.116
CR1116,Viral element,CASP RNA,TS434_5,23.139
CR1116,Viral element,CASP RNA,TS439_1,53.346
CR1116,Viral element,CASP RNA,TS439_2,51.128
CR1116,Viral element,CASP RNA,TS439_3,55.211
CR1116,Viral element,CASP RNA,TS439_4,52.813
CR1116,Viral element,CASP RNA,TS439_5,56.967
CR1116,Viral element,CASP RNA,TS470_1,53.862
CR1116,Viral element,CASP RNA,TS470_2,53.645
CR1116,Viral element,CASP RNA,TS470_3,53.415
CR1116,Viral element,CASP RNA,TS470_4,54.261
CR1116,Viral element,CASP RNA,TS470_5,53.608
CR1116,Viral element,CASP RNA,TS489_1,53.443
CR1116,Viral element,CASP RNA,TS489_2,52.87
CR1116,Viral element,CASP RNA,TS489_3,53.017
CR1116,Viral element,CASP RNA,TS489_4,52.76
