Target,Type,Source,gGSP
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,93.121
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,98.394
PZ16a,Synthetic construct,RNA-Puzzles,97.552
PZ16a,Synthetic construct,RNA-Puzzles,97.631
PZ16a,Synthetic construct,RNA-Puzzles,94.855
PZ16a,Synthetic construct,RNA-Puzzles,98.066
PZ16a,Synthetic construct,RNA-Puzzles,98.801
PZ16a,Synthetic construct,RNA-Puzzles,98.901
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,98.166
PZ16a,Synthetic construct,RNA-Puzzles,95.875
PZ16a,Synthetic construct,RNA-Puzzles,98.459
PZ16a,Synthetic construct,RNA-Puzzles,96.874
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,93.121
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16a,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,98.844
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,99.95
PZ16b,Synthetic construct,RNA-Puzzles,98.651
PZ16b,Synthetic construct,RNA-Puzzles,98.523
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,98.708
PZ16b,Synthetic construct,RNA-Puzzles,99.822
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,98.865
PZ16b,Synthetic construct,RNA-Puzzles,98.801
PZ16b,Synthetic construct,RNA-Puzzles,99.443
PZ16b,Synthetic construct,RNA-Puzzles,99.108
PZ16b,Synthetic construct,RNA-Puzzles,99.515
PZ16b,Synthetic construct,RNA-Puzzles,98.951
PZ16b,Synthetic construct,RNA-Puzzles,99.072
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ16b,Synthetic construct,RNA-Puzzles,100.0
PZ18,Viral element,RNA-Puzzles,99.46
PZ18,Viral element,RNA-Puzzles,100.0
PZ18,Viral element,RNA-Puzzles,100.0
PZ18,Viral element,RNA-Puzzles,100.0
PZ2,Nano construct,RNA-Puzzles,99.963
PZ2,Nano construct,RNA-Puzzles,99.963
PZ2,Nano construct,RNA-Puzzles,99.982
PZ2,Nano construct,RNA-Puzzles,99.976
PZ2,Nano construct,RNA-Puzzles,99.878
PZ2,Nano construct,RNA-Puzzles,99.088
PZ2,Nano construct,RNA-Puzzles,99.532
PZ2,Nano construct,RNA-Puzzles,99.872
PZ2,Nano construct,RNA-Puzzles,98.431
PZ2,Nano construct,RNA-Puzzles,100.0
PZ2,Nano construct,RNA-Puzzles,100.0
PZ2,Nano construct,RNA-Puzzles,99.292
PZ20,Ribozyme,RNA-Puzzles,99.906
PZ21,Riboswitch,RNA-Puzzles,99.629
PZ21,Riboswitch,RNA-Puzzles,99.554
PZ21,Riboswitch,RNA-Puzzles,99.629
PZ21,Riboswitch,RNA-Puzzles,99.554
PZ21,Riboswitch,RNA-Puzzles,95.442
PZ21,Riboswitch,RNA-Puzzles,100.0
PZ24,Viral element,RNA-Puzzles,97.849
PZ25,Riboswitch,RNA-Puzzles,99.894
PZ25,Riboswitch,RNA-Puzzles,99.824
PZ25,Riboswitch,RNA-Puzzles,99.86
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,99.793
PZ25,Riboswitch,RNA-Puzzles,99.975
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,99.953
PZ25,Riboswitch,RNA-Puzzles,99.908
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,99.682
PZ25,Riboswitch,RNA-Puzzles,99.243
PZ25,Riboswitch,RNA-Puzzles,99.76
PZ25,Riboswitch,RNA-Puzzles,99.659
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,99.718
PZ25,Riboswitch,RNA-Puzzles,99.768
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,100.0
PZ25,Riboswitch,RNA-Puzzles,99.481
PZ25,Riboswitch,RNA-Puzzles,99.595
PZ25,Riboswitch,RNA-Puzzles,95.839
PZ25,Riboswitch,RNA-Puzzles,93.742
PZ25,Riboswitch,RNA-Puzzles,98.5
PZ25,Riboswitch,RNA-Puzzles,98.419
PZ25,Riboswitch,RNA-Puzzles,98.573
PZ29,Riboswitch,RNA-Puzzles,96.484
PZ29,Riboswitch,RNA-Puzzles,94.705
PZ29,Riboswitch,RNA-Puzzles,92.815
PZ29,Riboswitch,RNA-Puzzles,96.235
PZ29,Riboswitch,RNA-Puzzles,96.384
PZ33,Riboswitch,RNA-Puzzles,99.833
PZ33,Riboswitch,RNA-Puzzles,100.0
PZ33,Riboswitch,RNA-Puzzles,100.0
PZ33,Riboswitch,RNA-Puzzles,99.362
PZ33,Riboswitch,RNA-Puzzles,99.345
PZ33,Riboswitch,RNA-Puzzles,99.572
PZ33,Riboswitch,RNA-Puzzles,100.0
PZ33,Riboswitch,RNA-Puzzles,99.657
PZ33,Riboswitch,RNA-Puzzles,99.944
PZ33,Riboswitch,RNA-Puzzles,99.863
PZ39,Viral element,RNA-Puzzles,95.566
PZ4,Riboswitch,RNA-Puzzles,99.989
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ4,Riboswitch,RNA-Puzzles,100.0
PZ8,Riboswitch,RNA-Puzzles,94.268
