Lab,Num,gGSP,RMSD,TM-score,INF_all,lDDT,Target,Type
ts227,2,4.75,25.567,0.207,0.592,0.299,CR1107,Ribozyme
ts227,3,4.756,26.316,0.272,0.542,0.306,CR1107,Ribozyme
ts227,4,4.655,25.699,0.264,0.588,0.299,CR1107,Ribozyme
ts227,5,4.61,24.956,0.245,0.538,0.306,CR1107,Ribozyme
ts229,1,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts229,2,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts229,3,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts229,4,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts229,5,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts232,1,96.482,4.515,0.564,0.814,0.725,CR1107,Ribozyme
ts232,2,94.435,4.857,0.498,0.817,0.721,CR1107,Ribozyme
ts232,3,64.812,5.949,0.487,0.82,0.728,CR1107,Ribozyme
ts232,4,71.347,5.307,0.488,0.855,0.71,CR1107,Ribozyme
ts232,5,73.494,5.023,0.473,0.798,0.689,CR1107,Ribozyme
ts235,1,8.587,25.031,0.214,0.67,0.426,CR1107,Ribozyme
ts235,2,5.867,26.725,0.156,0.587,0.309,CR1107,Ribozyme
ts235,3,8.416,31.141,0.271,0.672,0.424,CR1107,Ribozyme
ts235,4,8.609,28.177,0.232,0.668,0.383,CR1107,Ribozyme
ts235,5,7.774,19.156,0.192,0.593,0.359,CR1107,Ribozyme
ts238,1,9.938,18.13,0.267,0.613,0.022,CR1107,Ribozyme
ts245,1,7.475,23.47,0.256,0.464,0.319,CR1107,Ribozyme
ts245,2,7.855,21.335,0.206,0.519,0.324,CR1107,Ribozyme
ts245,3,8.193,23.617,0.214,0.552,0.324,CR1107,Ribozyme
ts245,4,7.841,18.242,0.191,0.467,0.329,CR1107,Ribozyme
ts245,5,5.219,19.044,0.144,0.485,0.292,CR1107,Ribozyme
ts248,1,8.162,23.602,0.374,0.537,0.39,CR1107,Ribozyme
ts248,2,8.327,22.96,0.323,0.527,0.392,CR1107,Ribozyme
ts248,3,8.126,23.563,0.286,0.541,0.339,CR1107,Ribozyme
ts248,4,7.958,23.443,0.3,0.557,0.354,CR1107,Ribozyme
ts248,5,8.294,22.985,0.278,0.554,0.375,CR1107,Ribozyme
ts285,1,8.319,20.905,0.245,0.449,0.354,CR1107,Ribozyme
ts285,2,8.601,21.094,0.252,0.478,0.353,CR1107,Ribozyme
ts285,3,8.168,19.626,0.262,0.449,0.32,CR1107,Ribozyme
ts285,4,8.358,21.47,0.253,0.464,0.344,CR1107,Ribozyme
ts285,5,8.352,21.117,0.236,0.452,0.338,CR1107,Ribozyme
ts287,1,61.758,6.691,0.41,0.79,0.68,CR1107,Ribozyme
ts287,2,62.042,6.483,0.419,0.79,0.646,CR1107,Ribozyme
ts287,3,25.447,16.512,0.329,0.72,0.51,CR1107,Ribozyme
ts287,4,61.772,6.555,0.404,0.784,0.651,CR1107,Ribozyme
ts287,5,26.975,15.871,0.34,0.709,0.513,CR1107,Ribozyme
ts385,1,7.914,23.017,0.264,0.528,0.332,CR1107,Ribozyme
ts385,2,7.855,21.335,0.206,0.519,0.324,CR1107,Ribozyme
ts385,3,8.193,23.617,0.214,0.552,0.324,CR1107,Ribozyme
ts385,4,7.841,18.242,0.191,0.467,0.329,CR1107,Ribozyme
ts385,5,5.219,19.044,0.144,0.485,0.292,CR1107,Ribozyme
ts392,1,24.492,16.625,0.287,0.792,0.511,CR1107,Ribozyme
ts392,2,21.803,17.989,0.229,0.748,0.477,CR1107,Ribozyme
ts392,3,20.734,18.121,0.223,0.739,0.462,CR1107,Ribozyme
ts392,4,22.669,17.838,0.232,0.742,0.475,CR1107,Ribozyme
ts392,5,20.714,19.575,0.239,0.717,0.458,CR1107,Ribozyme
ts416,1,63.899,5.924,0.462,0.729,0.595,CR1107,Ribozyme
ts416,2,32.942,7.803,0.392,0.713,0.54,CR1107,Ribozyme
ts416,3,34.294,7.741,0.39,0.722,0.581,CR1107,Ribozyme
ts416,4,20.477,10.167,0.241,0.651,0.353,CR1107,Ribozyme
ts416,5,36.631,6.516,0.464,0.754,0.58,CR1107,Ribozyme
ts434,1,4.719,24.981,0.267,0.571,0.31,CR1107,Ribozyme
ts434,2,4.633,23.541,0.246,0.577,0.306,CR1107,Ribozyme
ts434,3,4.728,25.595,0.281,0.59,0.312,CR1107,Ribozyme
ts434,4,4.658,29.258,0.261,0.539,0.312,CR1107,Ribozyme
ts434,5,4.744,26.241,0.262,0.589,0.314,CR1107,Ribozyme
ts439,1,20.17,19.332,0.285,0.697,0.489,CR1107,Ribozyme
ts439,2,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts439,3,10.117,19.974,0.264,0.603,0.379,CR1107,Ribozyme
ts439,4,20.17,19.332,0.285,0.697,0.489,CR1107,Ribozyme
ts439,5,9.017,17.897,0.296,0.608,0.338,CR1107,Ribozyme
ts470,1,61.322,6.616,0.381,0.757,0.018,CR1107,Ribozyme
ts470,2,61.914,6.93,0.381,0.718,0.01,CR1107,Ribozyme
ts470,3,68.708,6.516,0.375,0.72,0.04,CR1107,Ribozyme
ts470,4,61.866,6.694,0.377,0.745,0.018,CR1107,Ribozyme
ts470,5,64.466,6.103,0.42,0.742,0.052,CR1107,Ribozyme
ts489,1,61.322,6.616,0.381,0.757,0.018,CR1107,Ribozyme
ts489,2,61.914,6.93,0.381,0.718,0.01,CR1107,Ribozyme
ts489,3,68.708,6.516,0.375,0.72,0.04,CR1107,Ribozyme
ts489,4,61.866,6.694,0.377,0.745,0.018,CR1107,Ribozyme
ts489,5,64.466,6.103,0.42,0.742,0.052,CR1107,Ribozyme
tsr01,10,26.62,16.439,0.338,0.705,0.536,CR1107,Ribozyme
tsr01,1,60.803,6.797,0.416,0.79,0.685,CR1107,Ribozyme
tsr01,2,60.842,6.646,0.416,0.79,0.675,CR1107,Ribozyme
tsr01,3,25.964,17.203,0.34,0.705,0.53,CR1107,Ribozyme
tsr01,4,62.648,6.657,0.411,0.798,0.684,CR1107,Ribozyme
tsr01,5,61.414,6.498,0.41,0.784,0.678,CR1107,Ribozyme
tsr01,6,25.364,16.513,0.329,0.72,0.534,CR1107,Ribozyme
tsr01,7,61.498,6.556,0.404,0.784,0.678,CR1107,Ribozyme
tsr01,8,27.042,15.308,0.335,0.716,0.534,CR1107,Ribozyme
tsr01,9,61.392,6.601,0.419,0.781,0.68,CR1107,Ribozyme
tsr02,1,4.63,20.943,0.249,0.481,0.321,CR1107,Ribozyme
tsr02,2,4.605,31.398,0.272,0.484,0.032,CR1107,Ribozyme
tsr02,3,4.317,30.185,0.207,0.534,0.023,CR1107,Ribozyme
tsr02,4,8.324,24.325,0.261,0.562,0.031,CR1107,Ribozyme
tsr02,5,4.68,20.911,0.25,0.497,0.026,CR1107,Ribozyme
tsr02,6,7.364,24.265,0.261,0.511,0.015,CR1107,Ribozyme
tsr02,7,4.217,28.883,0.208,0.451,0.024,CR1107,Ribozyme
tsr02,8,9.637,20.146,0.233,0.564,0.053,CR1107,Ribozyme
tsr03,1,22.002,17.991,0.229,0.748,0.492,CR1107,Ribozyme
tsr03,2,21.002,18.121,0.223,0.739,0.477,CR1107,Ribozyme
tsr03,3,22.811,17.836,0.232,0.742,0.489,CR1107,Ribozyme
tsr03,4,21.024,19.561,0.239,0.717,0.472,CR1107,Ribozyme
tsr03,5,24.976,16.626,0.287,0.792,0.526,CR1107,Ribozyme
tsr04,1,24.881,16.05,0.341,0.763,0.169,CR1107,Ribozyme
tsr04,2,24.786,17.573,0.289,0.769,0.007,CR1107,Ribozyme
tsr04,3,62.997,5.982,0.397,0.757,0.32,CR1107,Ribozyme
tsr04,4,21.496,20.382,0.3,0.718,0.005,CR1107,Ribozyme
tsr04,5,19.994,14.742,0.24,0.678,0.041,CR1107,Ribozyme
tsr05,1,16.205,16.495,0.225,0.571,0.435,CR1107,Ribozyme
tsr05,2,16.735,17.067,0.222,0.514,0.425,CR1107,Ribozyme
tsr05,3,18.232,15.591,0.254,0.584,0.45,CR1107,Ribozyme
tsr05,4,12.524,16.735,0.229,0.565,0.412,CR1107,Ribozyme
tsr05,5,13.887,17.425,0.215,0.565,0.41,CR1107,Ribozyme
tsr05,6,14.141,17.722,0.219,0.527,0.42,CR1107,Ribozyme
tsr05,7,15.551,16.852,0.314,0.582,0.421,CR1107,Ribozyme
tsr06,1,34.964,8.054,0.357,0.717,0.039,CR1107,Ribozyme
tsr06,2,36.955,7.833,0.34,0.736,0.068,CR1107,Ribozyme
tsr06,3,34.847,11.536,0.295,0.781,0.093,CR1107,Ribozyme
tsr06,4,39.415,7.718,0.39,0.745,0.047,CR1107,Ribozyme
tsr06,5,44.78,7.791,0.354,0.727,0.006,CR1107,Ribozyme
tsr07,1,18.539,18.17,0.282,0.641,0.434,CR1107,Ribozyme
tsr07,2,15.328,25.815,0.261,0.612,0.423,CR1107,Ribozyme
tsr07,3,20.12,18.095,0.3,0.702,0.452,CR1107,Ribozyme
tsr07,4,19.43,18.57,0.274,0.722,0.449,CR1107,Ribozyme
tsr07,5,18.201,20.246,0.293,0.712,0.421,CR1107,Ribozyme
tsr08,1,20.924,14.097,0.333,0.717,0.528,CR1107,Ribozyme
tsr08,2,20.133,14.112,0.33,0.723,0.527,CR1107,Ribozyme
tsr08,3,27.131,13.111,0.323,0.732,0.515,CR1107,Ribozyme
tsr08,4,34.006,8.804,0.324,0.658,0.482,CR1107,Ribozyme
ts029,1,26.16,16.287,0.384,0.71,0.591,CR1108,Ribozyme
ts029,2,22.954,16.142,0.268,0.558,0.441,CR1108,Ribozyme
ts035,1,14.233,25.089,0.194,0.594,0.446,CR1108,Ribozyme
ts035,2,14.281,23.6,0.207,0.591,0.442,CR1108,Ribozyme
ts035,3,13.314,21.512,0.24,0.61,0.422,CR1108,Ribozyme
ts035,4,13.203,23.591,0.223,0.646,0.445,CR1108,Ribozyme
ts035,5,7.38,24.448,0.264,0.445,0.373,CR1108,Ribozyme
ts054,1,40.474,6.454,0.43,0.815,0.633,CR1108,Ribozyme
ts054,2,40.636,6.461,0.431,0.806,0.633,CR1108,Ribozyme
ts054,3,40.772,6.414,0.436,0.79,0.629,CR1108,Ribozyme
ts054,4,49.943,6.591,0.42,0.815,0.66,CR1108,Ribozyme
ts054,5,46.447,6.537,0.351,0.79,0.64,CR1108,Ribozyme
ts081,1,21.809,13.198,0.329,0.771,0.562,CR1108,Ribozyme
ts081,2,24.931,12.442,0.339,0.771,0.564,CR1108,Ribozyme
ts081,3,28.357,12.098,0.354,0.764,0.574,CR1108,Ribozyme
ts081,4,34.294,7.918,0.345,0.701,0.501,CR1108,Ribozyme
ts091,1,2.597,57.278,0.164,0.117,0.042,CR1108,Ribozyme
ts091,3,2.845,57.27,0.142,0.115,0.043,CR1108,Ribozyme
ts091,5,2.686,56.824,0.16,0.154,0.046,CR1108,Ribozyme
ts097,1,10.907,29.456,0.183,0.512,0.338,CR1108,Ribozyme
ts119,1,12.957,19.059,0.253,0.779,0.515,CR1108,Ribozyme
ts119,2,19.514,17.468,0.212,0.732,0.532,CR1108,Ribozyme
ts119,3,13.825,16.578,0.216,0.734,0.498,CR1108,Ribozyme
ts119,4,13.753,17.182,0.244,0.69,0.484,CR1108,Ribozyme
ts119,5,19.139,16.011,0.388,0.747,0.546,CR1108,Ribozyme
ts125,1,46.315,6.554,0.338,0.767,0.628,CR1108,Ribozyme
ts125,2,46.137,6.537,0.339,0.76,0.629,CR1108,Ribozyme
ts125,3,46.184,6.549,0.337,0.777,0.632,CR1108,Ribozyme
ts125,4,45.95,6.593,0.349,0.774,0.61,CR1108,Ribozyme
ts125,5,45.659,6.607,0.352,0.777,0.608,CR1108,Ribozyme
ts128,1,26.179,15.94,0.475,0.756,0.197,CR1108,Ribozyme
ts128,2,25.699,17.564,0.305,0.762,0.011,CR1108,Ribozyme
ts128,3,70.76,5.48,0.544,0.771,0.369,CR1108,Ribozyme
ts128,4,21.172,19.802,0.263,0.678,0.012,CR1108,Ribozyme
ts128,5,18.79,14.163,0.245,0.639,0.055,CR1108,Ribozyme
ts131,1,4.379,57.158,0.159,0.585,0.075,CR1108,Ribozyme
ts131,2,4.122,51.676,0.164,0.621,0.102,CR1108,Ribozyme
ts131,3,4.672,44.81,0.2,0.579,0.109,CR1108,Ribozyme
ts131,4,4.348,36.925,0.182,0.624,0.077,CR1108,Ribozyme
ts131,5,4.387,49.664,0.186,0.625,0.113,CR1108,Ribozyme
ts147,1,18.151,19.997,0.311,0.712,0.53,CR1108,Ribozyme
ts147,2,16.83,15.622,0.247,0.788,0.549,CR1108,Ribozyme
ts147,3,17.752,18.77,0.262,0.777,0.554,CR1108,Ribozyme
ts147,4,16.562,16.334,0.245,0.759,0.542,CR1108,Ribozyme
ts147,5,17.243,17.676,0.276,0.793,0.551,CR1108,Ribozyme
ts163,1,35.444,7.496,0.375,0.58,0.378,CR1108,Ribozyme
ts227,1,18.746,16.788,0.268,0.801,0.543,CR1108,Ribozyme
ts227,2,13.934,25.04,0.216,0.724,0.525,CR1108,Ribozyme
ts227,3,16.81,18.507,0.205,0.772,0.555,CR1108,Ribozyme
ts227,4,16.755,17.198,0.236,0.776,0.544,CR1108,Ribozyme
ts227,5,17.74,17.859,0.27,0.79,0.538,CR1108,Ribozyme
ts229,1,34.079,8.615,0.376,0.589,0.402,CR1108,Ribozyme
ts229,2,34.079,8.615,0.376,0.589,0.402,CR1108,Ribozyme
ts229,3,34.079,8.615,0.376,0.589,0.402,CR1108,Ribozyme
ts229,4,34.079,8.615,0.376,0.589,0.402,CR1108,Ribozyme
ts229,5,34.079,8.615,0.376,0.589,0.402,CR1108,Ribozyme
ts232,1,79.663,5.323,0.465,0.844,0.738,CR1108,Ribozyme
ts232,2,96.314,4.631,0.522,0.821,0.756,CR1108,Ribozyme
ts232,3,65.251,6.225,0.522,0.823,0.755,CR1108,Ribozyme
ts232,4,97.224,4.493,0.537,0.825,0.749,CR1108,Ribozyme
ts232,5,89.299,4.94,0.517,0.81,0.747,CR1108,Ribozyme
ts235,1,8.495,33.2,0.232,0.728,0.449,CR1108,Ribozyme
ts235,2,8.363,19.308,0.259,0.625,0.409,CR1108,Ribozyme
ts235,3,14.965,19.16,0.255,0.698,0.467,CR1108,Ribozyme
ts235,4,12.421,23.02,0.224,0.645,0.429,CR1108,Ribozyme
ts235,5,13.711,20.12,0.207,0.667,0.464,CR1108,Ribozyme
ts238,1,51.238,9.414,0.376,0.775,0.112,CR1108,Ribozyme
ts245,1,8.855,22.1,0.193,0.576,0.36,CR1108,Ribozyme
ts248,1,7.83,28.448,0.285,0.667,0.403,CR1108,Ribozyme
ts248,2,7.69,32.745,0.28,0.695,0.407,CR1108,Ribozyme
ts248,3,8.179,32.045,0.28,0.662,0.416,CR1108,Ribozyme
ts248,4,7.623,30.491,0.269,0.671,0.415,CR1108,Ribozyme
ts248,5,16.755,18.163,0.265,0.663,0.438,CR1108,Ribozyme
ts285,1,14.049,20.979,0.216,0.506,0.452,CR1108,Ribozyme
ts285,2,12.477,22.086,0.207,0.546,0.442,CR1108,Ribozyme
ts285,3,14.923,20.37,0.211,0.516,0.437,CR1108,Ribozyme
ts285,4,13.275,20.562,0.204,0.52,0.432,CR1108,Ribozyme
ts285,5,13.041,20.942,0.222,0.518,0.425,CR1108,Ribozyme
ts287,1,60.543,6.023,0.383,0.827,0.716,CR1108,Ribozyme
ts287,2,60.638,5.879,0.382,0.811,0.709,CR1108,Ribozyme
ts287,3,25.928,16.227,0.362,0.811,0.556,CR1108,Ribozyme
ts287,4,60.825,5.945,0.381,0.816,0.687,CR1108,Ribozyme
ts287,5,27.204,15.341,0.386,0.833,0.558,CR1108,Ribozyme
ts385,1,7.445,22.113,0.212,0.585,0.387,CR1108,Ribozyme
ts385,2,8.86,20.998,0.167,0.609,0.371,CR1108,Ribozyme
ts385,3,7.531,20.222,0.223,0.523,0.358,CR1108,Ribozyme
ts385,4,10.48,20.168,0.224,0.599,0.427,CR1108,Ribozyme
ts385,5,6.797,22.338,0.178,0.52,0.345,CR1108,Ribozyme
ts416,1,72.366,5.435,0.509,0.827,0.643,CR1108,Ribozyme
ts416,2,82.198,4.924,0.516,0.767,0.589,CR1108,Ribozyme
ts416,3,85.217,4.802,0.514,0.818,0.651,CR1108,Ribozyme
ts416,4,91.994,4.91,0.535,0.844,0.691,CR1108,Ribozyme
ts416,5,46.865,6.592,0.34,0.758,0.611,CR1108,Ribozyme
ts434,1,13.105,24.108,0.23,0.782,0.526,CR1108,Ribozyme
ts434,2,14.166,24.644,0.225,0.755,0.536,CR1108,Ribozyme
ts434,3,18.081,17.767,0.309,0.744,0.549,CR1108,Ribozyme
ts434,4,13.859,24.609,0.228,0.765,0.524,CR1108,Ribozyme
ts434,5,13.979,22.943,0.236,0.785,0.537,CR1108,Ribozyme
ts439,1,18.785,14.638,0.294,0.715,0.479,CR1108,Ribozyme
ts439,2,17.037,17.822,0.274,0.77,0.515,CR1108,Ribozyme
ts439,3,18.492,15.653,0.251,0.725,0.512,CR1108,Ribozyme
ts439,4,9.455,25.435,0.166,0.682,0.386,CR1108,Ribozyme
ts439,5,10.745,22.096,0.228,0.675,0.421,CR1108,Ribozyme
ts470,1,74.315,5.232,0.507,0.706,0.048,CR1108,Ribozyme
ts470,2,75.591,5.251,0.498,0.725,0.074,CR1108,Ribozyme
ts470,3,72.721,5.629,0.465,0.809,0.065,CR1108,Ribozyme
ts470,4,85.088,4.953,0.525,0.755,0.053,CR1108,Ribozyme
ts470,5,23.426,9.351,0.365,0.747,0.023,CR1108,Ribozyme
ts489,1,74.315,5.232,0.507,0.706,0.048,CR1108,Ribozyme
ts489,2,75.591,5.251,0.498,0.725,0.074,CR1108,Ribozyme
ts489,3,72.721,5.629,0.465,0.809,0.065,CR1108,Ribozyme
ts489,4,85.088,4.953,0.525,0.755,0.053,CR1108,Ribozyme
ts489,5,23.426,9.351,0.365,0.747,0.023,CR1108,Ribozyme
tsr01,10,26.981,15.781,0.384,0.817,0.583,CR1108,Ribozyme
tsr01,1,59.434,6.127,0.391,0.806,0.719,CR1108,Ribozyme
tsr01,2,58.731,5.981,0.372,0.827,0.709,CR1108,Ribozyme
tsr01,3,26.151,16.83,0.382,0.803,0.577,CR1108,Ribozyme
tsr01,4,60.917,6.014,0.38,0.822,0.719,CR1108,Ribozyme
tsr01,5,61.121,5.871,0.382,0.808,0.711,CR1108,Ribozyme
tsr01,6,25.905,16.222,0.362,0.803,0.581,CR1108,Ribozyme
tsr01,7,60.791,5.937,0.382,0.808,0.713,CR1108,Ribozyme
tsr01,8,27.243,14.865,0.373,0.807,0.58,CR1108,Ribozyme
tsr01,9,59.881,6.019,0.386,0.806,0.715,CR1108,Ribozyme
tsr02,10,5.66,24.39,0.275,0.487,0.034,CR1108,Ribozyme
tsr02,1,4.256,29.904,0.231,0.501,0.248,CR1108,Ribozyme
tsr02,2,5.632,24.426,0.274,0.469,0.319,CR1108,Ribozyme
tsr02,3,4.686,28.942,0.267,0.507,0.338,CR1108,Ribozyme
tsr02,4,4.772,28.925,0.258,0.511,0.061,CR1108,Ribozyme
tsr02,5,8.55,21.798,0.209,0.583,0.023,CR1108,Ribozyme
tsr02,6,9.115,19.746,0.236,0.553,0.032,CR1108,Ribozyme
tsr02,7,4.303,29.882,0.229,0.477,0.026,CR1108,Ribozyme
tsr02,8,31.945,11.323,0.294,0.774,0.06,CR1108,Ribozyme
tsr02,9,8.648,25.825,0.264,0.533,0.042,CR1108,Ribozyme
tsr03,1,15.442,19.168,0.218,0.657,0.488,CR1108,Ribozyme
tsr03,2,15.04,20.575,0.22,0.688,0.484,CR1108,Ribozyme
tsr03,3,15.082,20.639,0.211,0.672,0.488,CR1108,Ribozyme
tsr03,4,15.16,19.967,0.223,0.665,0.491,CR1108,Ribozyme
tsr03,5,15.001,21.524,0.215,0.704,0.228,CR1108,Ribozyme
tsr04,1,26.179,15.94,0.475,0.756,0.197,CR1108,Ribozyme
tsr04,2,25.699,17.564,0.305,0.762,0.011,CR1108,Ribozyme
tsr04,3,70.76,5.48,0.544,0.771,0.369,CR1108,Ribozyme
tsr04,4,21.172,19.802,0.263,0.678,0.012,CR1108,Ribozyme
tsr04,5,18.79,14.163,0.245,0.639,0.055,CR1108,Ribozyme
tsr05,1,17.104,17.665,0.244,0.594,0.473,CR1108,Ribozyme
tsr05,2,14.395,19.575,0.226,0.568,0.44,CR1108,Ribozyme
tsr05,3,14.077,15.999,0.219,0.605,0.43,CR1108,Ribozyme
tsr05,4,14.445,18.515,0.191,0.615,0.438,CR1108,Ribozyme
tsr06,1,42.52,8.372,0.379,0.804,0.046,CR1108,Ribozyme
tsr06,2,46.084,8.038,0.356,0.777,0.059,CR1108,Ribozyme
tsr06,3,35.115,9.121,0.284,0.774,0.081,CR1108,Ribozyme
tsr06,4,68.951,6.778,0.427,0.837,0.063,CR1108,Ribozyme
tsr06,5,39.072,7.475,0.359,0.774,0.075,CR1108,Ribozyme
tsr07,1,20.717,18.874,0.261,0.705,0.524,CR1108,Ribozyme
tsr07,2,20.03,20.869,0.283,0.784,0.528,CR1108,Ribozyme
tsr07,3,19.879,18.319,0.275,0.742,0.502,CR1108,Ribozyme
tsr07,4,19.494,19.06,0.255,0.723,0.511,CR1108,Ribozyme
tsr07,5,19.575,20.181,0.241,0.775,0.529,CR1108,Ribozyme
tsr08,1,21.809,13.198,0.329,0.771,0.562,CR1108,Ribozyme
tsr08,2,24.931,12.442,0.339,0.771,0.564,CR1108,Ribozyme
tsr08,3,28.357,12.098,0.354,0.764,0.574,CR1108,Ribozyme
tsr08,4,34.294,7.918,0.345,0.701,0.501,CR1108,Ribozyme
ts029,1,34.668,21.462,0.433,0.6,0.48,CR1116,Viral element
ts029,2,5.679,41.515,0.247,0.362,0.236,CR1116,Viral element
ts029,3,4.269,42.499,0.301,0.321,0.215,CR1116,Viral element
ts035,1,12.664,26.512,0.275,0.615,0.396,CR1116,Viral element
ts035,2,14.072,22.317,0.266,0.629,0.418,CR1116,Viral element
ts035,3,17.356,23.955,0.309,0.649,0.424,CR1116,Viral element
ts035,4,18.245,23.603,0.316,0.688,0.44,CR1116,Viral element
ts035,5,14.513,25.334,0.32,0.643,0.398,CR1116,Viral element
ts054,1,35.541,15.563,0.397,0.698,0.048,CR1116,Viral element
ts054,2,25.6,16.49,0.414,0.746,0.059,CR1116,Viral element
ts054,3,25.63,21.364,0.31,0.725,0.553,CR1116,Viral element
ts054,4,61.998,7.939,0.497,0.752,0.073,CR1116,Viral element
ts054,5,18.023,20.969,0.304,0.735,0.519,CR1116,Viral element
ts076,1,33.406,16.652,0.368,0.726,0.574,CR1116,Viral element
ts076,2,11.186,30.951,0.238,0.579,0.387,CR1116,Viral element
ts076,3,32.56,19.166,0.405,0.721,0.556,CR1116,Viral element
ts076,4,17.13,24.194,0.323,0.638,0.461,CR1116,Viral element
ts076,5,15.866,28.434,0.257,0.653,0.464,CR1116,Viral element
ts081,1,51.077,12.647,0.504,0.831,0.675,CR1116,Viral element
ts081,2,50.937,14.794,0.532,0.79,0.661,CR1116,Viral element
ts081,3,48.938,15.069,0.519,0.778,0.653,CR1116,Viral element
ts081,4,48.926,18.106,0.412,0.768,0.623,CR1116,Viral element
ts081,5,45.093,16.396,0.482,0.717,0.597,CR1116,Viral element
ts097,1,3.484,40.879,0.164,0.228,0.189,CR1116,Viral element
ts110,1,51.068,15.008,0.544,0.68,0.409,CR1116,Viral element
ts110,2,50.919,13.933,0.535,0.737,0.345,CR1116,Viral element
ts110,3,51.815,13.795,0.541,0.738,0.375,CR1116,Viral element
ts110,4,50.781,15.844,0.54,0.708,0.363,CR1116,Viral element
ts110,5,52.802,14.795,0.537,0.715,0.357,CR1116,Viral element
