target_label,PDB_IDs,descript,type,notes,PDB_Link,Komentarz,Kolumna nr 1
PZ14Free,5ddo,L-glutamine riboswitch,Riboswitch,free state,https://www.rcsb.org/structure/5ddo,,
PZ15,5di4,Hammerhead Ribozyme,Ribozyme,2 chains,https://www.rcsb.org/structure/5di4,,
PZ15noend,5di4,Hammerhead Ribozyme,Ribozyme,truncated ends,https://www.rcsb.org/structure/5di4,,
PZ15reconstruct,5di4,Hammerhead Ribozyme,Ribozyme,reconstructed,https://www.rcsb.org/structure/5di4,,
PZ16a,6y0y,Sarcin Ricin Loop,Synthetic construct,sequence A,https://www.rcsb.org/structure/6y0y,,
PZ16b,6y0t,Sarcin Ricin Loop,Synthetic construct,sequence B,https://www.rcsb.org/structure/6y0t,,
PZ17,5k7c,Pistol ribozyme,Ribozyme,-,https://www.rcsb.org/structure/5k7c,,
PZ18,5tpy,Zika virus,Viral element,-,https://www.rcsb.org/structure/5tpy,,
PZ19,5t5a,One Twister Sister ribozyme,Ribozyme,-,https://www.rcsb.org/structure/5t5a,,
PZ2,3p59,RNA square,Nano construct,artificial,https://www.rcsb.org/structure/3p59,,
PZ20,5y85,Another Twister Sister ribozyme,Ribozyme,-,https://www.rcsb.org/structure/5y85,,
PZ21,5nwq,Guanidine III Riboswitch,Riboswitch,-,https://www.rcsb.org/structure/5nwq,,
PZ22,6jq5,Hatchet Ribozyme,Ribozyme,monomer,https://www.rcsb.org/structure/6jq5,,
PZ22Dimer,6jq6,Hatchet Ribozyme,Ribozyme,dimer,https://www.rcsb.org/structure/6jq6,,
PZ23,6e8u,Mango-III aptamer,Aptamer,-,https://www.rcsb.org/structure/6e8u,,
PZ24,6ol3,adenovirus virus-associated RNA,Viral element,-,https://www.rcsb.org/structure/6ol3,możliwe że Viral,
PZ25,6p2h,2’-dG-II riboswitch,Riboswitch,-,https://www.rcsb.org/structure/6p2h,,
PZ26,6pmo,T-box riboswitch – tRNA complex,Riboswitch,complex,https://www.rcsb.org/structure/6pmo,,
PZ26tBox,6pmo,T-box riboswitch (Geobacillus),Riboswitch,tBox only,https://www.rcsb.org/structure/6pmo,,
PZ26tRNA,6pmo,tRNA (Geobacillus),Riboswitch,tRNA only,https://www.rcsb.org/structure/6pmo,"możliwe że ryboswitch, jak oryginał",tych bym postulował w ogóle nie brać pod uwagę
PZ27,6pom,T-box riboswitch – tRNA complex,Riboswitch,complex,https://www.rcsb.org/structure/6pom,,
PZ27tBox,6pom,T-box riboswitch (Bacillus),Riboswitch,tBox only,https://www.rcsb.org/structure/6pom,,
PZ27tRNA,6pom,tRNA (Bacillus),Riboswitch,tRNA only,https://www.rcsb.org/structure/6pom,"możliwe że ryboswitch, jak oryginał",tych bym postulował w ogóle nie brać pod uwagę
PZ28,6ufm,T-box riboswitch – tRNA complex,Riboswitch,complex,https://www.rcsb.org/structure/6ufm,,
PZ28tBox,6ufm,T-box riboswitch (Nocardia),Riboswitch,tBox only,https://www.rcsb.org/structure/6ufm,,
PZ28tRNA,6ufm,tRNA (Nocardia),Riboswitch,tRNA only,https://www.rcsb.org/structure/6ufm,"możliwe że ryboswitch, jak oryginał",tych bym postulował w ogóle nie brać pod uwagę
PZ29,6tb7,NAD+ riboswitch,Riboswitch,-,https://www.rcsb.org/structure/6tb7,,
PZ3,3owz,glycine riboswitch,Riboswitch,modified,https://www.rcsb.org/structure/3owz,,
PZ30,7bg9,human telomerase RNA,RNA-binding protein,-,https://www.rcsb.org/structure/7bg9,,
PZ31,7mlx,PFSE in Sars-CoV-2,Viral element,-,https://www.rcsb.org/structure/7mlx,,
PZ32,7eoj,Pepper Aptamer,Aptamer,-,https://www.rcsb.org/structure/7eoj,,
PZ33,7elp,xanthine riboswitch,Riboswitch,-,https://www.rcsb.org/structure/7elp,,
PZ34,7v9e,methyl transferase ribozyme,Ribozyme,-,https://www.rcsb.org/structure/7v9e,,
PZ35,7qr4,human CPEB3 HDV-like ribozyme,Ribozyme,dimer,https://www.rcsb.org/structure/7qr4,,
PZ36,7qr3,chimpanzee CPEB3 HDV-like ribozyme,Ribozyme,dimer,https://www.rcsb.org/structure/7qr3,,
PZ37,8gxc,NAD+ II riboswitch,Riboswitch,-,https://www.rcsb.org/structure/8gxc,,
PZ38,8hb8,NAD+ II riboswitch (another),Riboswitch,-,https://www.rcsb.org/structure/8hb8,,
PZ39,8dp3,B3 cloverleaf RRE,Viral element,enteroviral,https://www.rcsb.org/structure/8dp3,,
PZ4,3v7e,SAM-I riboswitch aptamer,Riboswitch,-,https://www.rcsb.org/structure/3v7e,,
PZ5,4p9r,group I intron,Ribozyme,-,https://www.rcsb.org/structure/4p9r,,
PZ6,4gxy,adenosylcobalamin riboswitch,Riboswitch,-,https://www.rcsb.org/structure/4gxy,,
PZ7,4r4v,Varkud satellite ribozyme,Ribozyme,-,https://www.rcsb.org/structure/4r4v,,
PZ8,4l81,SAM riboswitch,Riboswitch,-,https://www.rcsb.org/structure/4l81,,
PZ9,5kpy,5-hydroxytryptophan aptamer,Aptamer,-,https://www.rcsb.org/structure/5kpy,,
